"Symbol","Value","Footprint","Description","Tags","Footprint_Filter","Datasheet"
"Filter:0603USB-142","0603USB-142","Inductor_SMD:L_CommonModeChoke_Coilcraft_0603USB","Coilcraft common mode choke, 500mA, 250VAC, 98nH, 174mohm, 1.9Ghz","signal line filter","L*CommonModeChoke*Coilcraft*0603USB*","https://www.coilcraft.com/pdfs/0603usb.pdf"
"Filter:0603USB-222","0603USB-222","Inductor_SMD:L_CommonModeChoke_Coilcraft_0603USB","Coilcraft common mode choke, 500mA, 250VAC, 150nH, 209mohm, 0.96Ghz","signal line filter","L*CommonModeChoke*Coilcraft*0603USB*","https://www.coilcraft.com/pdfs/0603usb.pdf"
"Filter:0603USB-251","0603USB-251","Inductor_SMD:L_CommonModeChoke_Coilcraft_0603USB","Coilcraft common mode choke, 500mA, 250VAC, 18nH, 77 mohm, 3.8Ghz","signal line filter","L*CommonModeChoke*Coilcraft*0603USB*","https://www.coilcraft.com/pdfs/0603usb.pdf"
"Filter:0603USB-601","0603USB-601","Inductor_SMD:L_CommonModeChoke_Coilcraft_0603USB","Coilcraft common mode choke, 500mA, 250VAC, 37nH, 109mohm, 3.4Ghz","signal line filter","L*CommonModeChoke*Coilcraft*0603USB*","https://www.coilcraft.com/pdfs/0603usb.pdf"
"Filter:0603USB-951","0603USB-951","Inductor_SMD:L_CommonModeChoke_Coilcraft_0603USB","Coilcraft common mode choke, 500mA, 250VAC, 63nH, 142mohm, 2.8Ghz","signal line filter","L*CommonModeChoke*Coilcraft*0603USB*","https://www.coilcraft.com/pdfs/0603usb.pdf"
"Filter:0850BM14E0016","0850BM14E0016","RF_Converter:Balun_Johanson_1.6x0.8mm","Sub-GHz Impedance Matched Balun + LPF integrated Passive","Sub-GHz Balun","Balun*Johanson*1.6x0.8mm*","https://www.johansontechnology.com/datasheets/0850BM14E0016/0850BM14E0016.pdf"
"Filter:0900FM15K0039","0900FM15K0039","RF_Converter:Balun_Johanson_0900FM15K0039","868MHz/915MHz Sub-GHz Impedance Matched Filter integrated passive for Semtech SX1261, SX1262, LLCC68","Sub-GHz filter","Balun*Johanson*0900FM15K0039*","https://www.johansontechnology.com/datasheets/0900FM15K0039/0900FM15K0039.pdf"
"Filter:1FP41-4R","1FP41-4R","Filter:Filter_FILTERCON_1FPxx","4A, 250VAC, 50/60Hz line filter","EMI","Filter*FILTERCON*1FPxx*","https://filtercon.com.pl/wp-content/uploads/2019/07/Karta-katalogowa-FP-12-1.pdf"
"Filter:1FP42-3R","1FP42-3R","Filter:Filter_FILTERCON_1FPxx","3A, 250VAC, 50/60Hz line filter","EMI","Filter*FILTERCON*1FPxx*","https://filtercon.com.pl/wp-content/uploads/2019/07/Karta-katalogowa-FP-12-1.pdf"
"Filter:1FP44-2R","1FP44-2R","Filter:Filter_FILTERCON_1FPxx","2A, 250VAC, 50/60Hz line filter","EMI","Filter*FILTERCON*1FPxx*","https://filtercon.com.pl/wp-content/uploads/2019/07/Karta-katalogowa-FP-12-1.pdf"
"Filter:1FP45-0R","1FP45-0R","Filter:Filter_FILTERCON_1FPxx","0.5A, 250VAC, 50/60Hz line filter","EMI","Filter*FILTERCON*1FPxx*","https://filtercon.com.pl/wp-content/uploads/2019/07/Karta-katalogowa-FP-12-1.pdf"
"Filter:1FP45-1R","1FP45-1R","Filter:Filter_FILTERCON_1FPxx","1A, 250VAC, 50/60Hz line filter","EMI","Filter*FILTERCON*1FPxx*","https://filtercon.com.pl/wp-content/uploads/2019/07/Karta-katalogowa-FP-12-1.pdf"
"Filter:1FP61-4R","1FP61-4R","Filter:Filter_FILTERCON_1FPxx","4A, 250VAC, 50/60Hz line filter","EMI","Filter*FILTERCON*1FPxx*","https://filtercon.com.pl/wp-content/uploads/2019/07/Karta-katalogowa-FP-12-1.pdf"
"Filter:1FP62-3R","1FP62-3R","Filter:Filter_FILTERCON_1FPxx","3A, 250VAC, 50/60Hz line filter","EMI","Filter*FILTERCON*1FPxx*","https://filtercon.com.pl/wp-content/uploads/2019/07/Karta-katalogowa-FP-12-1.pdf"
"Filter:1FP64-2R","1FP64-2R","Filter:Filter_FILTERCON_1FPxx","2A, 250VAC, 50/60Hz line filter","EMI","Filter*FILTERCON*1FPxx*","https://filtercon.com.pl/wp-content/uploads/2019/07/Karta-katalogowa-FP-12-1.pdf"
"Filter:1FP65-0R","1FP65-0R","Filter:Filter_FILTERCON_1FPxx","0.5A, 250VAC, 50/60Hz line filter","EMI","Filter*FILTERCON*1FPxx*","https://filtercon.com.pl/wp-content/uploads/2019/07/Karta-katalogowa-FP-12-1.pdf"
"Filter:1FP65-1R","1FP65-1R","Filter:Filter_FILTERCON_1FPxx","1A, 250VAC, 50/60Hz line filter","EMI","Filter*FILTERCON*1FPxx*","https://filtercon.com.pl/wp-content/uploads/2019/07/Karta-katalogowa-FP-12-1.pdf"
"Filter:B39162B8813P810","B39162B8813P810","Filter:Filter_1109-5_1.1x0.9mm","1582.47MHz SAW filter, SMD 1109","SAW filter","Filter*1109*1.1x0.9mm*","https://product.tdk.com/search-template/en/documents/data_sheet/40/ds/mc/B9482.pdf"
"Filter:BNX025","BNX025","Filter:Filter_Murata_BNX025","EMI Filter SMD, Murata BNX025","EMI Filter SMD Murata","Filter*Murata*BNX025*","https://www.murata.com/en-us/products/productdetail.aspx?cate=luNoiseSupprFilteBlockType&partno=BNX025H01%23"
"Filter:Choke_CommonMode_FerriteCore_1234","Choke_CommonMode_FerriteCore_1234","","Generic common-mode choke, ferrite core, 1234 pin order","signal line filter","","~"
"Filter:Choke_CommonMode_FerriteCore_1243","Choke_CommonMode_FerriteCore_1243","","Generic common-mode choke, ferrite core, 1243 pin order","signal line filter","","~"
"Filter:Choke_CommonMode_FerriteCore_1324","Choke_CommonMode_FerriteCore_1324","","Generic common-mode choke, ferrite core, 1324 pin order","signal line filter","","~"
"Filter:Choke_CommonMode_FerriteCore_1342","Choke_CommonMode_FerriteCore_1342","","Generic common-mode choke, ferrite core, 1342 pin order","signal line filter","","~"
"Filter:Choke_CommonMode_FerriteCore_1423","Choke_CommonMode_FerriteCore_1423","","Generic common-mode choke, ferrite core, 1423 pin order","signal line filter","","~"
"Filter:Choke_CommonMode_PulseElectronics_PH9455x105NL","Choke_CommonMode_PulseElectronics_PH9455x105NL","Inductor_THT:L_CommonMode_PulseElectronics_PH9455x105NL_1","Common mode choke, 22A, 380VAC, 1mH, 2.1 mOhm, PH9455x105NL","common-mode common mode choke powerline power line filter","L*CommonMode*PulseElectronics*PH9455x105NL?1*","https://productfinder.pulseelectronics.com/api/open/product-attachments/datasheet/ph9455.105nl"
"Filter:Choke_CommonMode_PulseElectronics_PH9455x155NL","Choke_CommonMode_PulseElectronics_PH9455x155NL","Inductor_THT:L_CommonMode_PulseElectronics_PH9455x155NL_1","Common mode choke, 19A, 380VAC, 1.62mH, 3.2 mOhm, PH9455x155NL","common-mode common mode choke powerline power line filter","L*CommonMode*PulseElectronics*PH9455x155NL?1*","https://productfinder.pulseelectronics.com/api/open/product-attachments/datasheet/ph9455.105nl"
"Filter:Choke_CommonMode_PulseElectronics_PH9455x156NL","Choke_CommonMode_PulseElectronics_PH9455x156NL","Inductor_THT:L_CommonMode_PulseElectronics_PH9455xxx6NL_2","Common mode choke, 6A, 380VAC, 15mH, 30 mOhm, PH9455x156NL","common-mode common mode choke powerline power line filter","L*CommonMode*PulseElectronics*PH9455xxx6NL?2*","https://productfinder.pulseelectronics.com/api/open/product-attachments/datasheet/ph9455.105nl"
"Filter:Choke_CommonMode_PulseElectronics_PH9455x205NL","Choke_CommonMode_PulseElectronics_PH9455x205NL","Inductor_THT:L_CommonMode_PulseElectronics_PH9455x205NL_1","Common mode choke, 16A, 380VAC, 2.2mH, 4.5 mOhm, PH9455x205NL","common-mode common mode choke powerline power line filter","L*CommonMode*PulseElectronics*PH9455x205NL?1*","https://productfinder.pulseelectronics.com/api/open/product-attachments/datasheet/ph9455.105nl"
"Filter:Choke_CommonMode_PulseElectronics_PH9455x356NL","Choke_CommonMode_PulseElectronics_PH9455x356NL","Inductor_THT:L_CommonMode_PulseElectronics_PH9455xxx6NL_2","Common mode choke, 4A, 380VAC, 35mH, 80 mOhm, PH9455x356NL","common-mode common mode choke powerline power line filter","L*CommonMode*PulseElectronics*PH9455xxx6NL?2*","https://productfinder.pulseelectronics.com/api/open/product-attachments/datasheet/ph9455.105nl"
"Filter:Choke_CommonMode_PulseElectronics_PH9455x405NL","Choke_CommonMode_PulseElectronics_PH9455x405NL","Inductor_THT:L_CommonMode_PulseElectronics_PH9455x405NL_1","Common mode choke, 12A, 380VAC, 4.5mH, 8.5 mOhm, PH9455x405NL","common-mode common mode choke powerline power line filter","L*CommonMode*PulseElectronics*PH9455x405NL?1*","https://productfinder.pulseelectronics.com/api/open/product-attachments/datasheet/ph9455.105nl"
"Filter:Choke_CommonMode_PulseElectronics_PH9455x705NL","Choke_CommonMode_PulseElectronics_PH9455x705NL","Inductor_THT:L_CommonMode_PulseElectronics_PH9455x705NL_1","Common mode choke, 9A, 380VAC, 6.5mH, 14 mOhm, PH9455x705NL","common-mode common mode choke powerline power line filter","L*CommonMode*PulseElectronics*PH9455x705NL?1*","https://productfinder.pulseelectronics.com/api/open/product-attachments/datasheet/ph9455.105nl"
"Filter:Choke_CommonMode_PulseElectronics_PH9455x826NL","Choke_CommonMode_PulseElectronics_PH9455x826NL","Inductor_THT:L_CommonMode_PulseElectronics_PH9455xxx6NL_2","Common mode choke, 3A, 380VAC, 82mH, 150 mOhm, PH9455x826NL","common-mode common mode choke powerline power line filter","L*CommonMode*PulseElectronics*PH9455xxx6NL?2*","https://productfinder.pulseelectronics.com/api/open/product-attachments/datasheet/ph9455.105nl"
"Filter:Choke_Schaffner_RN102-0.3-02-12M","Choke_Schaffner_RN102-0.3-02-12M","Inductor_THT:Choke_Schaffner_RN102-04-14.0x14.0mm","Common mode choke, 300mA, 300VAC, 12mH, 1.1 ohm, RN-102","common-mode common mode choke powerline power line filter","Choke*Schaffner*RN102*","https://www.schaffner.com/products/download/product/datasheet/rn-series-common-mode-chokes-new/"
