"Symbol","Value","Footprint","Description","Tags","Footprint_Filter","Datasheet"
"Oscillator:5P49V6965","5P49V6965","Package_DFN_QFN:QFN-24-1EP_4x4mm_P0.5mm_EP2.8x2.8mm","Programmable Clock Generator, I2C interface, 1kHz-350MHz, QFN-24","Low-noise PLL Reference Clock","QFN*1EP*4x4mm*P0.5mm*","https://www.renesas.com/us/en/document/dst/5p49v6965-datasheet"
"Oscillator:ABLNO","ABLNO","Oscillator:Oscillator_SMD_Abracon_ABLNO","LVCMOS Ultra Low Phase Noise XO / VCXO, Abracon ABLNO","XO VCXO","Oscillator*Abracon*ABLNO*","https://abracon.com/Precisiontiming/ABLNO.pdf"
"Oscillator:ACO-xxxMHz","ACO-xxxMHz","Oscillator:Oscillator_DIP-14","HCMOS Crystal Clock Oscillator, DIP14-style metal package","Crystal Clock Oscillator","Oscillator*DIP*14*","http://www.conwin.com/datasheets/cx/cx030.pdf"
"Oscillator:ACO-xxxMHz-A","ACO-xxxMHz-A","Oscillator:Oscillator_DIP-14","HCMOS Crystal Clock Oscillator, DIP14-style metal package","Crystal Clock Oscillator","Oscillator*DIP*14*","http://www.conwin.com/datasheets/cx/cx030.pdf"
"Oscillator:ASCO","ASCO","Oscillator:Oscillator_SMD_Abracon_ASCO-4Pin_1.6x1.2mm","Crystal Clock Oscillator, Abracon ASCO","Crystal Clock Oscillator","Oscillator*Abracon*ASCO*1.6x1.2mm*","https://abracon.com/Oscillators/ASCO.pdf"
"Oscillator:ASDMB-xxxMHz","ASDMB-xxxMHz","Oscillator:Oscillator_SMD_Abracon_ASDMB-4Pin_2.5x2.0mm","1.8-3.3V SMD Ultra Miniature Crystal Clock Oscillator, Abracon","1.8-3.3V SMD Ultra Miniature Crystal Clock Oscillator","Oscillator*SMD*Abracon*ASDMB*2.5x2.0mm*","https://abracon.com/Oscillators/ASDMB.pdf"
"Oscillator:ASE-xxxMHz","ASE-xxxMHz","Oscillator:Oscillator_SMD_Abracon_ASE-4Pin_3.2x2.5mm","3.3V CMOS SMD Crystal Clock Oscillator, Abracon","3.3V CMOS SMD Crystal Clock Oscillator","Oscillator*SMD*Abracon*ASE*3.2x2.5mm*","http://www.abracon.com/Oscillators/ASV.pdf"
"Oscillator:ASV-xxxMHz","ASV-xxxMHz","Oscillator:Oscillator_SMD_Abracon_ASV-4Pin_7.0x5.1mm","3.3V HCMOS SMD Crystal Clock Oscillator, Abracon","3.3V HCMOS SMD Crystal Clock Oscillator","Oscillator*SMD*Abracon*ASV*7.0x5.1mm*","http://www.abracon.com/Oscillators/ASV.pdf"
"Oscillator:CFPS-72","CFPS-72","Oscillator:Oscillator_SMD_IQD_IQXO70-4Pin_7.5x5.0mm","500kHz-100MHz 5V Crystal Oscillator, IQD CFPS-72","XO","Oscillator*SMD*IQD*IQXO70*7.5x5.0mm*","https://www.iqdfrequencyproducts.com/products/details/cfps-72-14-01.pdf"
"Oscillator:CVCO55xx","CVCO55xx","RF_Mini-Circuits:Mini-Circuits_CK605_LandPatternPL-012","Voltage Controlled Oscillator, Crystek, 0.50\","VCXO VCO Crystek","Mini?Circuits*CK605*","https://www.crystek.com/home/vco/cvco55.aspx"
"Oscillator:CXO_DIP14","CXO_DIP14","Oscillator:Oscillator_DIP-14","Crystal Clock Oscillator, DIP14-style metal package","Crystal Clock Oscillator","Oscillator*DIP*14*","http://cdn-reichelt.de/documents/datenblatt/B400/OSZI.pdf"
"Oscillator:CXO_DIP8","CXO_DIP8","Oscillator:Oscillator_DIP-8","Crystal Clock Oscillator, DIP8-style metal package","Crystal Clock Oscillator","Oscillator*DIP*8*","http://cdn-reichelt.de/documents/datenblatt/B400/OSZI.pdf"
"Oscillator:DFA-S11","DFA-S11","Oscillator:Oscillator_SMD_Fordahl_DFAS11-4Pin_7.0x5.0mm","Temperature compensated Crystal Clock Oscillator","Temperature compensated Crystal Clock Oscillator","Oscillator*SMD*Fordahl*DFAS11*7.0x5.0mm*","http://www.metatech.com.hk/product/fordahl/pdf/2002%20TCXO%20Page%2043-58.pdf"
"Oscillator:DFA-S15","DFA-S15","Oscillator:Oscillator_SMD_Fordahl_DFAS15-4Pin_5.0x3.2mm","Temperature compensated Crystal Clock Oscillator","Temperature compensated Crystal Clock Oscillator","Oscillator*SMD*Fordahl*DFAS15*5.0x3.2mm*","http://www.metatech.com.hk/product/fordahl/pdf/2002%20TCXO%20Page%2043-58.pdf"
"Oscillator:DFA-S2","DFA-S2","Oscillator:Oscillator_SMD_Fordahl_DFAS2-4Pin_7.3x5.1mm","Temperature compensated Crystal Clock Oscillator","Temperature compensated Crystal Clock Oscillator","Oscillator*SMD*Fordahl*DFAS2*7.3x5.1mm*","http://www.metatech.com.hk/product/fordahl/pdf/2002%20TCXO%20Page%2043-58.pdf"
"Oscillator:DFA-S3","DFA-S3","Oscillator:Oscillator_SMD_Fordahl_DFAS3-4Pin_9.1x7.2mm","Temperature compensated Crystal Clock Oscillator","Temperature compensated Crystal Clock Oscillator","Oscillator*SMD*Fordahl*DFAS3*9.1x7.2mm*","http://www.metatech.com.hk/product/fordahl/pdf/2002%20TCXO%20Page%2043-58.pdf"
"Oscillator:DGOF5S3","DGOF5S3","Oscillator:Oscillator_DIP-14","HCMOS Crystal Clock Oscillator, DIP14-style metal package","Crystal Clock Oscillator","Oscillator*DIP*14*","http://www.conwin.com/datasheets/cx/cx030.pdf"
"Oscillator:ECS-2520MV-xxx-xx","ECS-2520MV-xxx-xx","Oscillator:Oscillator_SMD_ECS_2520MV-xxx-xx-4Pin_2.5x2.0mm","HCMOS Crystal Clock Oscillator, 2.5x2.0 mm SMD","Crystal Clock Oscillator ECS SMD","Oscillator*SMD*ECS*2520MV*2.5x2.0mm*","https://www.ecsxtal.com/store/pdf/ECS-2520MV.pdf"
"Oscillator:FT5HN","FT5HN","Oscillator:Oscillator_SMD_Fox_FT5H_5.0x3.2mm","HCMOS temperature compensated oscillator","TXCO","Oscillator*SMD*Fox*FT5H*5.0x3.2mm*","https://foxonline.com/wp-content/uploads/pdfs/T5HN_T5HV.pdf"
"Oscillator:FT5HV","FT5HV","Oscillator:Oscillator_SMD_Fox_FT5H_5.0x3.2mm","HCMOS temperature compensated voltage controlled oscillator","TXCO VCTCXO","Oscillator*SMD*Fox*FT5H*5.0x3.2mm*","https://foxonline.com/wp-content/uploads/pdfs/T5HN_T5HV.pdf"
"Oscillator:GTXO-14T","GTXO-14T","Oscillator:Oscillator_DIP-14","Crystal Clock Oscillator, DIP14-style metal package","Crystal Clock Oscillator","Oscillator*DIP*14*","http://www.golledge.com/pdf/products/tcxos/gtxo14.pdf"
"Oscillator:GTXO-14V","GTXO-14V","Oscillator:Oscillator_DIP-14","Voltage-Controlled Crystal Clock Oscillator, DIP14-style metal package","Crystal Clock Oscillator","Oscillator*DIP*14*","http://www.golledge.com/pdf/products/tcxos/gtxo14.pdf"
"Oscillator:GTXO-S14T","GTXO-S14T","Oscillator:Oscillator_DIP-14","3.3 & 5V Stratum 3 Sinewave TCXO, DIP14-style metal package","Crystal Clock Oscillator","Oscillator*DIP*14*","http://www.golledge.com/pdf/products/tcxos/gtxos14.pdf"
"Oscillator:GTXO-S14V","GTXO-S14V","Oscillator:Oscillator_DIP-14","3.3 & 5V Stratum 3 Sinewave TCXO, DIP14-style metal package","Crystal Clock Oscillator","Oscillator*DIP*14*","http://www.golledge.com/pdf/products/tcxos/gtxos14.pdf"
"Oscillator:IQXO-70","IQXO-70","Oscillator:Oscillator_SMD_IQD_IQXO70-4Pin_7.5x5.0mm","Crystal Clock Oscillator, SMD package 7.5x5.0mm²","Crystal Clock Oscillator","Oscillator*SMD*IQD*IQXO70*7.5x5.0mm*","http://www.iqdfrequencyproducts.com/products/details/iqxo-70-11-30.pdf"
"Oscillator:JTOS-25","JTOS-25","RF_Mini-Circuits:Mini-Circuits_BK377_LandPatternPL-005","Voltage Controlled Oscillator, 12.5 to 25 MHz, Mini-Circuits BK377","VCXO","Mini?Circuits*BK377*","https://www.minicircuits.com/pdfs/JTOS-25+.pdf"
"Oscillator:JTOS-50","JTOS-50","RF_Mini-Circuits:Mini-Circuits_BK377_LandPatternPL-005","Voltage Controlled Oscillator, 25 to 47 MHz, Mini-Circuits BK377","VCXO","Mini?Circuits*BK377*","https://www.minicircuits.com/pdfs/JTOS-50+.pdf"
"Oscillator:KC2520Z","KC2520Z","Oscillator:Oscillator_SMD_Kyocera_KC2520Z-4Pin_2.5x2.0mm","1.8432MHz ~ 125MHz Crystal Oscillator","xo","Oscillator*SMD*Kyocera*KC2520Z*2.5x2.0mm*","https://global.kyocera.com/prdct/electro/product/pdf/clock_z_xz_e.pdf"
"Oscillator:KT2520K-T","KT2520K-T","Oscillator:Oscillator_SMD_Kyocera_2520-6Pin_2.5x2.0mm","10-60MHz Temperature Compensated Crystal Oscillator, Kyocera 2520","tcxo","Oscillator*SMD*Kyocera*2.5x2.0mm*","https://global.kyocera.com/prdct/electro/product/pdf/kt2520_e.pdf"
"Oscillator:LTC6905xS5-100","LTC6905xS5-100","Package_TO_SOT_SMD:TSOT-23-5","2.7-5.5V 100MHz Precision Fixed Frequency Silicon Oscillator, TSOT-23-5","oscillator fixed frequency divider silicon","TSOT?23?5*","https://www.analog.com/media/en/technical-documentation/data-sheets/6905xfa.pdf"
"Oscillator:LTC6905xS5-133","LTC6905xS5-133","Package_TO_SOT_SMD:TSOT-23-5","2.7-5.5V 133MHz Precision Fixed Frequency Silicon Oscillator, TSOT-23-5","oscillator fixed frequency divider silicon","TSOT?23?5*","https://www.analog.com/media/en/technical-documentation/data-sheets/6905xfa.pdf"
"Oscillator:LTC6905xS5-80","LTC6905xS5-80","Package_TO_SOT_SMD:TSOT-23-5","2.7-5.5V 80MHz Precision Fixed Frequency Silicon Oscillator, TSOT-23-5","oscillator fixed frequency divider silicon","TSOT?23?5*","https://www.analog.com/media/en/technical-documentation/data-sheets/6905xfa.pdf"
"Oscillator:LTC6905xS5-96","LTC6905xS5-96","Package_TO_SOT_SMD:TSOT-23-5","2.7-5.5V 96MHz Precision Fixed Frequency Silicon Oscillator, TSOT-23-5","oscillator fixed frequency divider silicon","TSOT?23?5*","https://www.analog.com/media/en/technical-documentation/data-sheets/6905xfa.pdf"
"Oscillator:MAX7375AXR105","MAX7375AXR105","Package_TO_SOT_SMD:SOT-323_SC-70","Silicon Clock Oscillator 1MHz, SC-70-3","Silicon Clock Oscillator 1MHz 1000kHz","*SC?70*","https://datasheets.maximintegrated.com/en/ds/MAX7375.pdf"
"Oscillator:MAX7375AXR185","MAX7375AXR185","Package_TO_SOT_SMD:SOT-323_SC-70","Silicon Clock Oscillator 1.84MHz, SC-70-3","Silicon Clock Oscillator 1,84MHz 1840kHz","*SC?70*","https://datasheets.maximintegrated.com/en/ds/MAX7375.pdf"
"Oscillator:MAX7375AXR365","MAX7375AXR365","Package_TO_SOT_SMD:SOT-323_SC-70","Silicon Clock Oscillator 3.58MHz, SC-70-3","Silicon Clock Oscillator 3.58MHz 3580kHz","*SC?70*","https://datasheets.maximintegrated.com/en/ds/MAX7375.pdf"
"Oscillator:MAX7375AXR375","MAX7375AXR375","Package_TO_SOT_SMD:SOT-323_SC-70","Silicon Clock Oscillator 3.69MHz, SC-70-3","Silicon Clock Oscillator 3.69MHz 3690kHz","*SC?70*","https://datasheets.maximintegrated.com/en/ds/MAX7375.pdf"
"Oscillator:MAX7375AXR405","MAX7375AXR405","Package_TO_SOT_SMD:SOT-323_SC-70","Silicon Clock Oscillator 4MHz, SC-70-3","Silicon Clock Oscillator 4MHz 4000kHz","*SC?70*","https://datasheets.maximintegrated.com/en/ds/MAX7375.pdf"
"Oscillator:MAX7375AXR425","MAX7375AXR425","Package_TO_SOT_SMD:SOT-323_SC-70","Silicon Clock Oscillator 4.19MHz, SC-70-3","Silicon Clock Oscillator 4.19MHz 4190kHz","*SC?70*","https://datasheets.maximintegrated.com/en/ds/MAX7375.pdf"
"Oscillator:MAX7375AXR805","MAX7375AXR805","Package_TO_SOT_SMD:SOT-323_SC-70","Silicon Clock Oscillator 8MHz, SC-70-3","Silicon Clock Oscillator 8MHz 8000kHz","*SC?70*","https://datasheets.maximintegrated.com/en/ds/MAX7375.pdf"
"Oscillator:MV267","MV267","Oscillator:Oscillator_OCXO_Morion_MV267","5/10 MHz Low Phase-Noise Precision OCXO, Morion MV267","OCXO","Oscillator*OCXO*Morion*MV267*","http://www.morion.com.ru/catalog_pdf/MV267.pdf"
"Oscillator:MV317","MV317","Oscillator:Oscillator_OCXO_Morion_MV317","60, 80, 100, 120 & 122.76 MHz OCXO, Morion MV317","OCXO","Oscillator*OCXO*Morion*MV317*","https://www.morion-us.com/catalog_pdf/mv317.pdf"
"Oscillator:NB3N502","NB3N502","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","3.3V / 5.0V 14 MHz to 190 MHz PLL Clock Multiplier, SOIC-8","oscillator clock multiplier PLL","SOIC*3.9x4.9mm*P1.27mm*","http://www.onsemi.com/pub/Collateral/NB3N502-D.PDF"
"Oscillator:NB3N511","NB3N511","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","3.3V / 5.0V 14 MHz to 200 MHz PLL Clock Multiplier, SOIC-8","oscillator clock multiplier PLL","SOIC*3.9x4.9mm*P1.27mm*","http://www.onsemi.com/pub/Collateral/NB3N511-D.PDF"
