Symbol,Value,Footprint,Description,Tags,Footprint_Filter,Datasheet
Amplifier_Audio:IR4302,IR4302,Package_DFN_QFN:Infineon_PQFN-44-31-5EP_7x7mm_P0.5mm,"PowIRaudio 2 Channel Integrated Analog Input Class D Audio Amplifier, 130W/4ohm, 80V, PQFN-44",integrated class d amplifier 2ch,Infineon*PQFN*5EP*7x7mm*P0.5mm*,https://www.infineon.com/dgdl/ir4302.pdf?fileId=5546d462533600a4015355d602a9181d
Amplifier_Audio:IR4311,IR4311,Package_DFN_QFN:Infineon_PQFN-22-15-4EP_6x5mm_P0.65mm,"PowIRaudio Integrated Analog Input Class D Audio Amplifier, 90W/4ohm, 60V, PQFN-22",integrated class d amplifier,Infineon*PQFN*4EP*6x5mm*P0.65mm*,https://www.infineon.com/dgdl/ir4301.pdf?fileId=5546d462533600a4015355d5fc691819
Amplifier_Audio:IR4312,IR4312,Package_DFN_QFN:Infineon_PQFN-44-31-5EP_7x7mm_P0.5mm,"PowIRaudio 2 Channel Integrated Analog Input Class D Audio Amplifier, 100W/4ohm, 60V, PQFN-44",integrated class d amplifier 2ch,Infineon*PQFN*5EP*7x7mm*P0.5mm*,https://www.infineon.com/dgdl/ir4302.pdf?fileId=5546d462533600a4015355d602a9181d
Amplifier_Audio:IR4321,IR4321,Package_DFN_QFN:Infineon_PQFN-22-15-4EP_6x5mm_P0.65mm,"PowIRaudio Integrated Analog Input Class D Audio Amplifier, 35W/4ohm, 40V, PQFN-22",integrated class d amplifier,Infineon*PQFN*4EP*6x5mm*P0.65mm*,https://www.infineon.com/dgdl/ir4301.pdf?fileId=5546d462533600a4015355d5fc691819
Amplifier_Audio:IR4322,IR4322,Package_DFN_QFN:Infineon_PQFN-44-31-5EP_7x7mm_P0.5mm,"PowIRaudio 2 Channel Integrated Analog Input Class D Audio Amplifier, 35W/4ohm, 40V, PQFN-44",integrated class d amplifier 2ch,Infineon*PQFN*5EP*7x7mm*P0.5mm*,https://www.infineon.com/dgdl/ir4302.pdf?fileId=5546d462533600a4015355d602a9181d
Amplifier_Audio:IRS2052M,IRS2052M,Package_DFN_QFN:Infineon_MLPQ-48-1EP_7x7mm_P0.5mm_EP5.55x5.55mm,"2 CH Digital Audio Amplifier, PWM Modulator, ±100V, 0.5/0.6A, MLPQ-48",Gate Driver Class D 2ch,Infineon*MLPQ*1EP*7x7mm*P0.5mm*,https://www.infineon.com/dgdl/irs2052mpbf.pdf?fileId=5546d462533600a401535675d3b32788
Amplifier_Audio:IRS2092,IRS2092,Package_DIP:DIP-16_W7.62mm,"Protected Digital Audio Amplifier, PWM Modulator, ±100V, 1.0/1.2A, PDIP-16",Gate Driver Class D,DIP*W7.62mm*,http://www.infineon.com/dgdl/irs2092.pdf?fileId=5546d462533600a401535675f1be2790
Amplifier_Audio:IRS2092S,IRS2092S,Package_SO:SOIC-16_3.9x9.9mm_P1.27mm,"Protected Digital Audio Amplifier, PWM Modulator, ±100V, 1.0/1.2A, SOIC-16",Gate Driver Class D,SOIC*3.9x9.9mm*P1.27mm*,http://www.infineon.com/dgdl/irs2092.pdf?fileId=5546d462533600a401535675f1be2790
Amplifier_Audio:IRS2093M,IRS2093M,Package_DFN_QFN:Infineon_MLPQ-48-1EP_7x7mm_P0.5mm_EP5.55x5.55mm,"4 CH Digital Audio Amplifier, PWM Modulator, ±100V, 0.5/0.6A, MLPQ-48",Gate Driver Class D 4ch,Infineon*MLPQ*1EP*7x7mm*P0.5mm*,https://www.infineon.com/dgdl/irs2093mpbf.pdf?fileId=5546d462533600a401535675fb892793
Amplifier_Audio:IRS20957S,IRS20957S,Package_SO:SOIC-16_3.9x9.9mm_P1.27mm,"Protected Digital Audio Driver, ±100V, 1.0/1.2A, SOIC-16",Gate Driver Class D,SOIC*3.9x9.9mm*P1.27mm*,http://www.infineon.com/dgdl/irs20957spbf.pdf?fileId=5546d462533600a401535676143e2799
Amplifier_Audio:IRS20965S,IRS20965S,Package_SO:SOIC-16_3.9x9.9mm_P1.27mm,"Class D Audio Driver, ±100V, 2.0/2.0A, SOIC-16",Gate Driver Class D,SOIC*3.9x9.9mm*P1.27mm*,https://www.infineon.com/dgdl/irs20965spbf.pdf?fileId=5546d462533600a4015356761d8b279b
Amplifier_Audio:IRS2452AM,IRS2452AM,Package_DFN_QFN:Infineon_MLPQ-40-32-1EP_7x7mm_P0.5mm,"Class D Audio IC, PWM Modulator, ±200V, 0.5/0.6A, MLPQ-32",Gate Driver Class D 2ch,Infineon*MLPQ*1EP*7x7mm*P0.5mm*,https://www.infineon.com/dgdl/Infineon-IRS2452AM-DS-v01_00-EN.pdf?fileId=5546d462584d1d4a01584ee4f1f00713
