Symbol,Value,Footprint,Description,Tags,Footprint_Filter,Datasheet
CPLD_Altera:EP1210,EP1210,,EPLD,EPLD,,~
CPLD_Altera:EP1810,EP1810,,EPLD,EPLD,,~
CPLD_Altera:EP300,EP300,Package_DIP:DIP-20_W7.62mm,"EPLD, DIP-20",EPLD,DIP*W7.62mm*,~
CPLD_Altera:EP310,EP310,Package_DIP:DIP-20_W7.62mm,"EPLD, 8 Macrocell, DIP-20",EPLD,DIP*W7.62mm*,https://www.usbid.com/assets/datasheets/A6/ep310%20-%20epld%20-%20altera.pdf
CPLD_Altera:EP320,EP320,,EPLD,EPLD,,~
CPLD_Altera:EP600,EP600,,EPLD,EPLD,,~
CPLD_Altera:EP910,EP910,,EPLD,EPLD,,~
CPLD_Altera:EPM1270F256,EPM1270F256,Package_BGA:BGA-256_17.0x17.0mm_Layout16x16_P1.0mm_Ball0.5mm_Pad0.4mm_NSMD,Altera MAX2 CPLD with 1270 LE,MAX2 FBGA,*BGA*P1.0mm*,https://www.altera.com/content/dam/altera-www/global/en_US/pdfs/literature/hb/max2/max2_mii5v1.pdf
CPLD_Altera:EPM1270M256,EPM1270M256,Package_BGA:BGA-256_11.0x11.0mm_Layout20x20_P0.5mm_Ball0.3mm_Pad0.25mm_NSMD,Altera MAX2 CPLD with 1270 LE,MAX2 MBGA,*BGA*P0.5mm*,https://www.altera.com/content/dam/altera-www/global/en_US/pdfs/literature/hb/max2/max2_mii5v1.pdf
CPLD_Altera:EPM1270T144,EPM1270T144,Package_QFP:LQFP-144_20x20mm_P0.5mm,Altera MAX2 CPLD with 1270 LE,MAX2 TQFP,*QFP*P0.5mm*,https://www.altera.com/content/dam/altera-www/global/en_US/pdfs/literature/hb/max2/max2_mii5v1.pdf
CPLD_Altera:EPM2210F256,EPM2210F256,Package_BGA:BGA-256_17.0x17.0mm_Layout16x16_P1.0mm_Ball0.5mm_Pad0.4mm_NSMD,Altera MAX2 CPLD with 2210 LE,MAX2 FBGA,*BGA*P1.0mm*,https://www.altera.com/content/dam/altera-www/global/en_US/pdfs/literature/hb/max2/max2_mii5v1.pdf
CPLD_Altera:EPM2210F324,EPM2210F324,Package_BGA:BGA-324_19.0x19.0mm_Layout18x18_P1.0mm_Ball0.5mm_Pad0.4mm_NSMD,Altera MAX2 CPLD with 2210 LE,MAX2 FBGA,*BGA*P1.0mm*,https://www.altera.com/content/dam/altera-www/global/en_US/pdfs/literature/hb/max2/max2_mii5v1.pdf
CPLD_Altera:EPM240F100,EPM240F100,Package_BGA:BGA-100_11.0x11.0mm_Layout10x10_P1.0mm_Ball0.5mm_Pad0.4mm_NSMD,Altera MAX2 CPLD with 240 LE,MAX2 FBGA,*BGA*P1.0mm*,https://www.altera.com/content/dam/altera-www/global/en_US/pdfs/literature/hb/max2/max2_mii5v1.pdf
CPLD_Altera:EPM240M100,EPM240M100,Package_BGA:BGA-100_6.0x6.0mm_Layout11x11_P0.5mm_Ball0.3mm_Pad0.25mm_NSMD,Altera MAX2 CPLD with 240 LE,MAX2 MBGA,*BGA*P0.5mm*,https://www.altera.com/content/dam/altera-www/global/en_US/pdfs/literature/hb/max2/max2_mii5v1.pdf
CPLD_Altera:EPM240T100,EPM240T100,Package_QFP:LQFP-100_14x14mm_P0.5mm,Altera MAX2 CPLD with 240 LE,MAX2 TQFP,*QFP*P0.5mm*,https://www.altera.com/content/dam/altera-www/global/en_US/pdfs/literature/hb/max2/max2_mii5v1.pdf
CPLD_Altera:EPM240ZM100,EPM240ZM100,Package_BGA:BGA-100_6.0x6.0mm_Layout11x11_P0.5mm_Ball0.3mm_Pad0.25mm_NSMD,Altera Zero-Power MAX2 CPLD with 240 LE,MAX2 MBGA,*BGA*P0.5mm*,https://www.altera.com/content/dam/altera-www/global/en_US/pdfs/literature/hb/max2/max2_mii5v1.pdf
CPLD_Altera:EPM240ZM68,EPM240ZM68,Package_BGA:BGA-68_5.0x5.0mm_Layout9x9_P0.5mm_Ball0.3mm_Pad0.25mm_NSMD,Altera Zero-Power MAX2 CPLD with 240 LE,MAX2 MBGA,*BGA*P0.5mm*,https://www.altera.com/content/dam/altera-www/global/en_US/pdfs/literature/hb/max2/max2_mii5v1.pdf
CPLD_Altera:EPM570F100,EPM570F100,Package_BGA:BGA-100_11.0x11.0mm_Layout10x10_P1.0mm_Ball0.5mm_Pad0.4mm_NSMD,Altera MAX2 CPLD with 570 LE,MAX2 FBGA,*BGA*P1.0mm*,https://www.altera.com/content/dam/altera-www/global/en_US/pdfs/literature/hb/max2/max2_mii5v1.pdf
