"Symbol","Value","Footprint","Description","Tags","Footprint_Filter","Datasheet"
"MyLib_LED:LED","LED","","Light emitting diode","LED diode","LED* LED_SMD:* LED_THT:*","~"
"MyLib_LED:LED_45deg","LED_45deg","","Light emitting diode, rotated by 45°","LED diode","LED* LED_SMD:* LED_THT:*","~"
"MyLib_LED:LED_45deg_Filled","LED_45deg_Filled","","Light emitting diode, rotated by 45°","LED diode","LED* LED_SMD:* LED_THT:*","~"
"MyLib_LED:LED_ABGR","LED_ABGR","","RGB LED, anode/blue/green/red","LED RGB diode","LED* LED_SMD:* LED_THT:*","~"
"MyLib_LED:LED_ABRG","LED_ABRG","","RGB LED, anode/blue/red/green","LED RGB diode","LED* LED_SMD:* LED_THT:*","~"
"MyLib_LED:LED_AGBR","LED_AGBR","","RGB LED, anode/green/blue/red","LED RGB diode","LED* LED_SMD:* LED_THT:*","~"
"MyLib_LED:LED_AGRB","LED_AGRB","","RGB LED, anode/green/red/blue","LED RGB diode","LED* LED_SMD:* LED_THT:*","~"
"MyLib_LED:LED_ARBG","LED_ARBG","","RGB LED, anode/red/blue/green","LED RGB diode","LED* LED_SMD:* LED_THT:*","~"
"MyLib_LED:LED_ARGB","LED_ARGB","","RGB LED, anode/red/green/blue","LED RGB diode","LED* LED_SMD:* LED_THT:*","~"
"MyLib_LED:LED_BAGR","LED_BAGR","","RGB LED, blue/anode/green/red","LED RGB diode","LED* LED_SMD:* LED_THT:*","~"
"MyLib_LED:LED_BARG","LED_BARG","","RGB LED, blue/anode/red/green","LED RGB diode","LED* LED_SMD:* LED_THT:*","~"
"MyLib_LED:LED_BGAR","LED_BGAR","","RGB LED, blue/green/anode/red","LED RGB diode","LED* LED_SMD:* LED_THT:*","~"
"MyLib_LED:LED_BGKR","LED_BGKR","","RGB LED, blue/green/cathode/red","LED RGB diode","LED* LED_SMD:* LED_THT:*","~"
"MyLib_LED:LED_BGRA","LED_BGRA","","RGB LED, blue/green/red/anode","LED RGB diode","LED* LED_SMD:* LED_THT:*","~"
"MyLib_LED:LED_BGRK","LED_BGRK","","RGB LED, blue/green/red/cathode","LED RGB diode","LED* LED_SMD:* LED_THT:*","~"
"MyLib_LED:LED_BKGR","LED_BKGR","","RGB LED, blue/cathode/green/red","LED RGB diode","LED* LED_SMD:* LED_THT:*","~"
"MyLib_LED:LED_BKRG","LED_BKRG","","RGB LED, blue/cathode/red/green","LED RGB diode","LED* LED_SMD:* LED_THT:*","~"
"MyLib_LED:LED_BLUE","LED","","Light emitting diode","LED diode","LED* LED_SMD:* LED_THT:*","~"
"MyLib_LED:LED_BRAG","LED_BRAG","","RGB LED, blue/red/anode/green","LED RGB diode","LED* LED_SMD:* LED_THT:*","~"
"MyLib_LED:LED_BRGA","LED_BRGA","","RGB LED, blue/red/green/anode","LED RGB diode","LED* LED_SMD:* LED_THT:*","~"
"MyLib_LED:LED_BRGK","LED_BRGK","","RGB LED, blue/red/green/cathode","LED RGB diode","LED* LED_SMD:* LED_THT:*","~"
"MyLib_LED:LED_BRKG","LED_BRKG","","RGB LED, blue/red/cathode/green","LED RGB diode","LED* LED_SMD:* LED_THT:*","~"
"MyLib_LED:LED_Dual_AAK","LED_Dual_AAK","","Dual LED, common cathode on pin 3","LED diode bicolor dual","LED* LED_SMD:* LED_THT:*","~"
"MyLib_LED:LED_Dual_AAKK","LED_Dual_AAKK","","Dual LED, cathodes on pins 3 and 4","LED diode bicolor dual","LED* LED_SMD:* LED_THT:*","~"
"MyLib_LED:LED_Dual_AKA","LED_Dual_AKA","","Dual LED, common cathode on pin 2","LED diode bicolor dual","LED* LED_SMD:* LED_THT:*","~"
"MyLib_LED:LED_Dual_AKAK","LED_Dual_AKAK","","Dual LED, cathodes on pins 2 and 4","LED diode bicolor dual","LED* LED_SMD:* LED_THT:*","~"
"MyLib_LED:LED_Dual_AKKA","LED_Dual_AKKA","","Dual LED, cathodes on pins 2 and 3","LED diode bicolor dual","LED* LED_SMD:* LED_THT:*","~"
"MyLib_LED:LED_Dual_Bidirectional","LED_Dual_Bidirectional","","Dual LED, bidirectional","LED diode bicolor dual","LED* LED_SMD:* LED_THT:*","~"
"MyLib_LED:LED_Dual_KAK","LED_Dual_KAK","","Dual LED, common anode on pin 2","LED diode bicolor dual","LED* LED_SMD:* LED_THT:*","~"
"MyLib_LED:LED_Dual_KAKA","LED_Dual_KAKA","","Dual LED, cathodes on pins 1 and 3","LED diode bicolor dual","LED* LED_SMD:* LED_THT:*","~"
"MyLib_LED:LED_Dual_KKA","LED_Dual_KKA","","Dual LED, common anode on pin 3","LED diode bicolor dual","LED* LED_SMD:* LED_THT:*","~"
"MyLib_LED:LED_Filled","LED_Filled","","Light emitting diode, filled shape","LED diode","LED* LED_SMD:* LED_THT:*","~"
"MyLib_LED:LED_GABR","LED_GABR","","RGB LED, green/anode/blue/red","LED RGB diode","LED* LED_SMD:* LED_THT:*","~"
"MyLib_LED:LED_GARB","LED_GARB","","RGB LED, green/anode/red/blue","LED RGB diode","LED* LED_SMD:* LED_THT:*","~"
"MyLib_LED:LED_GBAR","LED_GBAR","","RGB LED, green/blue/anode/red","LED RGB diode","LED* LED_SMD:* LED_THT:*","~"
"MyLib_LED:LED_GBKR","LED_GBKR","","RGB LED, green/blue/cathode/red","LED RGB diode","LED* LED_SMD:* LED_THT:*","~"
"MyLib_LED:LED_GBRA","LED_GBRA","","RGB LED, green/blue/red/anode","LED RGB diode","LED* LED_SMD:* LED_THT:*","~"
"MyLib_LED:LED_GBRK","LED_GBRK","","RGB LED, green/blue/red/cathode","LED RGB diode","LED* LED_SMD:* LED_THT:*","~"
"MyLib_LED:LED_GKBR","LED_GKBR","","RGB LED, green/cathode/blue/red","LED RGB diode","LED* LED_SMD:* LED_THT:*","~"
"MyLib_LED:LED_GKRB","LED_GKRB","","RGB LED, green/cathode/red/blue","LED RGB diode","LED* LED_SMD:* LED_THT:*","~"
"MyLib_LED:LED_GRAB","LED_GRAB","","RGB LED, green/red/anode/blue","LED RGB diode","LED* LED_SMD:* LED_THT:*","~"
"MyLib_LED:LED_GRBA","LED_GRBA","","RGB LED, green/red/blue/anode","LED RGB diode","LED* LED_SMD:* LED_THT:*","~"
"MyLib_LED:LED_GRBK","LED_GRBK","","RGB LED, green/red/blue/cathode","LED RGB diode","LED* LED_SMD:* LED_THT:*","~"
"MyLib_LED:LED_GREEN","LED","","Light emitting diode","LED diode","LED* LED_SMD:* LED_THT:*","~"
"MyLib_LED:LED_GRKB","LED_GRKB","","RGB LED, green/red/cathode/blue","LED RGB diode","LED* LED_SMD:* LED_THT:*","~"
"MyLib_LED:LED_KBGR","LED_KBGR","","RGB LED, cathode/blue/green/red","LED RGB diode","LED* LED_SMD:* LED_THT:*","~"
"MyLib_LED:LED_KBRG","LED_KBRG","","RGB LED, cathode/blue/red/green","LED RGB diode","LED* LED_SMD:* LED_THT:*","~"
"MyLib_LED:LED_KGBR","LED_KGBR","","RGB LED, cathode/green/blue/red","LED RGB diode","LED* LED_SMD:* LED_THT:*","~"
"MyLib_LED:LED_KGRB","LED_KGRB","","RGB LED, cathode/green/red/blue","LED RGB diode","LED* LED_SMD:* LED_THT:*","~"
"MyLib_LED:LED_KRBG","LED_KRBG","","RGB LED, cathode/red/blue/green","LED RGB diode","LED* LED_SMD:* LED_THT:*","~"
"MyLib_LED:LED_KRGB","LED_KRGB","","RGB LED, cathode/red/green/blue","LED RGB diode","LED* LED_SMD:* LED_THT:*","~"
"MyLib_LED:LED_ORANGE","LED","","Light emitting diode","LED diode","LED* LED_SMD:* LED_THT:*","~"
"MyLib_LED:LED_Pad","LED_Pad","","Light emitting diode with pad","LED diode pad","LED* LED_SMD:* LED_THT:*","~"
"MyLib_LED:LED_RABG","LED_RABG","","RGB LED, red/anode/blue/green","LED RGB diode","LED* LED_SMD:* LED_THT:*","~"
"MyLib_LED:LED_RAGB","LED_RAGB","","RGB LED, red/anode/green/blue","LED RGB diode","LED* LED_SMD:* LED_THT:*","~"
