Symbol,Value,Footprint,Description,Tags,Footprint_Filter,Datasheet
4xxx:14528,14528,,Monostable,CMOS,DIP?16*,https://www.onsemi.com/pub/Collateral/MC14528B-D.PDF
4xxx:14529,14529,,Dual 4 to 1 Multiplexer,CMOS MUX MUX4,DIP?16*,http://www.alldatasheet.com/datasheet-pdf/pdf/97272/HITACHI/HD14529B.html
4xxx:14538,14538,,Monostable,CMOS,DIP?16*,https://www.onsemi.com/pub/Collateral/MC14538B-D.PDF
4xxx:4001,4001,,Quad Nor 2 inputs,CMOS Nor2,DIP?14*,http://www.intersil.com/content/dam/Intersil/documents/cd40/cd4000bms-01bms-02bms-25bms.pdf
4xxx:4002,4002,,Dual  4 input NOR gate,CMOS Nor4,DIP?14*,http://www.intersil.com/content/dam/Intersil/documents/cd40/cd4000bms-01bms-02bms-25bms.pdf
4xxx:4009,4009,,Hex Buffer Inverter,"CMOS INV BUFFER high sink, VCC and VDD sep. VDD>VI>VCC!",DIP?16*,http://www.sycelectronica.com.ar/semiconductores/CD4009.pdf
4xxx:4010,4010,,Hex Buffer,"CMOS BUFFER high sink, VCC and VDD sep. VDD>VI>VCC!",DIP?16*,http://www.ti.com/lit/ds/symlink/cd4010b-q1.pdf
4xxx:40106,40106,,Hex Schmitt trigger inverter,CMOS,DIP?14*,https://assets.nexperia.com/documents/data-sheet/HEF40106B.pdf
4xxx:4011,4011,,Quad Nand 2 inputs,CMOS Nand2,DIP?14*,http://www.intersil.com/content/dam/Intersil/documents/cd40/cd4011bms-12bms-23bms.pdf
4xxx:4012,4012,,Dual 4 inputs Nand,CMOS Nand4,DIP?14*,http://www.intersil.com/content/dam/Intersil/documents/cd40/cd4011bms-12bms-23bms.pdf
4xxx:4013,4013,,"Dual D  FlipFlop, Set & reset",CMOS DFF,DIP*W7.62mm* SOIC*3.9x9.9mm*P1.27mm* TSSOP*4.4x5mm*P0.65mm*,http://www.onsemi.com/pub/Collateral/MC14013B-D.PDF
4xxx:4016,4016,,Quad Analog Switches,CMOS SWITCH,DIP?14*,http://www.ti.com/lit/ds/symlink/cd4016b.pdf
4xxx:4017,4017,,Johnson Counter ( 10 outputs ),CNT CNT10,DIP?16*,http://www.intersil.com/content/dam/Intersil/documents/cd40/cd4017bms-22bms.pdf
4xxx:4020,4020,,Binary counter 14 stages (asynchronous),CMOS CNT CNT14,DIP?16*,http://www.intersil.com/content/dam/Intersil/documents/cd40/cd4020bms-24bms-40bms.pdf
4xxx:4021,4021,,8-bit static shift register,shift register SR PISO,DIP*W7.62mm* SOIC*3.9x9.9mm*P1.27mm* TSSOP*4.4x5mm*P0.65mm* SOIC*5.3x10.2mm*P1.27mm*,https://assets.nexperia.com/documents/data-sheet/HEF4021B.pdf
4xxx:4022,4022,,Johnson Counter (8 states),CMOS CNT CNT8,DIP?16*,http://www.intersil.com/content/dam/Intersil/documents/cd40/cd4017bms-22bms.pdf
4xxx:4023,4023,,Triple Nand 3 inputs,CMOS Nand3,DIP?14*,http://www.intersil.com/content/dam/Intersil/documents/cd40/cd4011bms-12bms-23bms.pdf
4xxx:4025,4025,,Triple Nor 3 inputs,CMOS Nor3,DIP?14*,http://www.intersil.com/content/dam/Intersil/documents/cd40/cd4000bms-01bms-02bms-25bms.pdf
4xxx:4027,4027,,"Dual JK FlipFlop, set & reset",CMOS JK JKFF,DIP*W7.62mm* SOIC*3.9x9.9mm*P1.27mm* TSSOP*4.4x5mm*P0.65mm*,http://www.intersil.com/content/dam/Intersil/documents/cd40/cd4027bms.pdf
4xxx:4028,4028,,Decoder 4 to 10 lines,CMOS DECOD DECOD10,DIP?16*,http://www.intersil.com/content/dam/Intersil/documents/cd40/cd4028bms.pdf
4xxx:4029,4029,,Up/Down Counter,CMOS COUNTER,DIP?16*,http://www.intersil.com/content/dam/Intersil/documents/cd40/cd4029bms.pdf
4xxx:4040,4040,,Binary Counter 12 stages (Asynchronous),CMOS CNT CNT12,DIP?16*,http://www.intersil.com/content/dam/Intersil/documents/cd40/cd4020bms-24bms-40bms.pdf
4xxx:4046,4046,,Phase Comp & VCO,CMOS PLL,DIP?16*,https://assets.nexperia.com/documents/data-sheet/HEF4046B.pdf
4xxx:4047,4047,,Monostable/Astable Multivibrator,CMOS monostable astable multivibrator,DIP*W7.62mm* SOIC*3.9x8.7mm*P1.27mm*,https://www.ti.com/lit/ds/symlink/cd4047b.pdf
4xxx:4049,4049,,Hex Buffer Inverter,CMOS BUFFER,DIP?16*,http://www.intersil.com/content/dam/intersil/documents/cd40/cd4049ubms.pdf
4xxx:4050,4050,,Hex Buffer,CMOS BUFFER,DIP?16*,http://www.intersil.com/content/dam/intersil/documents/cd40/cd4050bms.pdf
4xxx:4051,4051,,Analog Multiplexer 8 to 1 lins,CMOS MUX MUX8,DIP?16*,http://www.intersil.com/content/dam/Intersil/documents/cd40/cd4051bms-52bms-53bms.pdf
4xxx:4052,4052,,Dual Analog Multiplexer 4 to 1 line,CMOS MUX MUX4,DIP?16*,http://www.intersil.com/content/dam/Intersil/documents/cd40/cd4051bms-52bms-53bms.pdf
4xxx:4053,4053,,Triple analog Multiplexer 2 to 1 line,CMOS MUX MUX2,DIP?16*,http://www.intersil.com/content/dam/Intersil/documents/cd40/cd4051bms-52bms-53bms.pdf
4xxx:4056,4056,,"BCD to 7-Segment Decoder/Driver, Strobed-Latch Function",CMOS LCD 7-segment decoder driver,DIP*W7.62mm* SOIC*3.9x9.9mm*P1.27mm* TSSOP*4.4x5mm*P0.65mm*,http://www.ti.com/lit/ds/symlink/cd4056b.pdf
4xxx:4060,4060,,Binary counter (14-stages) and oscillator,binary counter oscillator,DIP?16*7.62* TSSOP*16*4.4x5* SOIC*16*3.9x9.9*,https://www.st.com/resource/en/datasheet/m74hc4060.pdf
4xxx:4066,4066,,Quad Analog Switches,CMOS SWITCH,DIP?14*,http://www.ti.com/lit/ds/symlink/cd4066b.pdf
4xxx:4069,4069,,Hex inverter,CMOS NOT,DIP?14*,http://www.intersil.com/content/dam/Intersil/documents/cd40/cd4069ubms.pdf
4xxx:4070,4070,,Quad Xor 2 inputs,CMOS XOR2,DIP?14*,http://www.intersil.com/content/dam/Intersil/documents/cd40/cd4070bms-77bms.pdf
4xxx:4071,4071,,Quad Or 2 inputs,CMOS OR2,DIP?14*,http://www.intersil.com/content/dam/Intersil/documents/cd40/cd4071bms-72bms-75bms.pdf
4xxx:4072,4072,,Dual 4 input OR gate,CMOS OR4,DIP?14*,http://www.intersil.com/content/dam/Intersil/documents/cd40/cd4071bms-72bms-75bms.pdf
4xxx:4073,4073,,Triple And 3 inputs,CMOS And3,DIP?14*,http://www.intersil.com/content/dam/Intersil/documents/cd40/cd4073bms-81bms-82bms.pdf
4xxx:4075,4075,,Triple Or 3 inputs,CMOS Or3,DIP?14*,http://www.intersil.com/content/dam/Intersil/documents/cd40/cd4071bms-72bms-75bms.pdf
4xxx:4077,4077,,Quad Xnor 2 inputs,CMOS XOR XNOR XNOR2,DIP?14*,http://www.intersil.com/content/dam/Intersil/documents/cd40/cd4076bms.pdf
4xxx:4081,4081,,Quad And 2 inputs,CMOS And2,DIP?14*,http://www.intersil.com/content/dam/Intersil/documents/cd40/cd4073bms-81bms-82bms.pdf
4xxx:4098,4098,,Dual Monostable Multivibrator,CMOS monostable multivibrator,DIP*W7.62mm* SOIC*3.9x9.9mm*P1.27mm* TSSOP*4.4x5mm*P0.65mm*,http://www.ti.com/lit/ds/symlink/cd4098b.pdf
