Symbol,Value,Footprint,Description,Tags,Footprint_Filter,Datasheet
Transistor_Array:A2982,A2982,MyLib_Package_SO:SOIC-20W_7.5x12.8mm_P1.27mm,"8-Channel Source Driver, TTL DTL, PMOS or CMOS compatible, 500mA 50V output, SOIC-20W",relays solenoids lamps steppers servos LEDs,SOIC*20W*7.5x12.8mm*P1.27mm*,https://www.allegromicro.com/~/media/Files/Datasheets/A2981-2-Datasheet.ashx
Transistor_Array:MC1413BD,MC1413BD,MyLib_Package_SO:SOIC-16_3.9x9.9mm_P1.27mm,"High Voltage, High Current Darlington Transistor Arrays,  TTL/CMOS-compatible, SOIC-16",darlington transistor array,SOIC*3.9x9.9mm*P1.27mm*,http://www.onsemi.com/pub_link/Collateral/MC1413-D.PDF
Transistor_Array:MC1413BP,MC1413BP,MyLib_Package_DIP:DIP-16_W7.62mm,"High Voltage, High Current Darlington Transistor Arrays,  TTL/CMOS-compatible, PDIP-16",darlington transistor array,DIP*W7.62mm*,http://www.onsemi.com/pub_link/Collateral/MC1413-D.PDF
Transistor_Array:MC1413D,MC1413D,MyLib_Package_SO:SOIC-16_3.9x9.9mm_P1.27mm,"High Voltage, High Current Darlington Transistor Arrays, SOIC-16",darlington transistor array,SOIC*3.9x9.9mm*P1.27mm*,http://www.onsemi.com/pub_link/Collateral/MC1413-D.PDF
Transistor_Array:MC1413P,MC1413P,MyLib_Package_DIP:DIP-16_W7.62mm,"High Voltage, High Current Darlington Transistor Arrays, PDIP-16",darlington transistor array,DIP*W7.62mm*,http://www.onsemi.com/pub_link/Collateral/MC1413-D.PDF
Transistor_Array:NCV1413B,NCV1413B,MyLib_Package_SO:SOIC-16_3.9x9.9mm_P1.27mm,"High Voltage, High Current Darlington Transistor Arrays,  TTL/CMOS-compatible, SOIC-16",darlington transistor array,SOIC*3.9x9.9mm*P1.27mm*,http://www.onsemi.com/pub_link/Collateral/MC1413-D.PDF
Transistor_Array:SN75468,SN75468,,"Higher Voltage, High Current Darlington Transistor Arrays, 5V CMOS/TTL-compatible input, SOIC16/SOIC16W/DIP16",darlington transistor array,DIP*W7.62mm* SOIC*3.9x9.9mm*P1.27mm* SOIC*W*5.3x10.2mm*P1.27mm*,http://www.ti.com/lit/ds/slrs023e/slrs023e.pdf
Transistor_Array:SN75469,SN75469,,"Higher Voltage, High Current Darlington Transistor Arrays, 6-15V CMOS/PMOS-compatible input, SOIC16/SOIC16W/DIP16",darlington transistor array,DIP*W7.62mm* SOIC*3.9x9.9mm*P1.27mm* SOIC*W*5.3x10.2mm*P1.27mm*,http://www.ti.com/lit/ds/slrs023e/slrs023e.pdf
Transistor_Array:TBD62783A,TBD62783A,,"8-Channel Source Type Transistor Array, TTL and CMOS compatible, 500mA, 50V, DIP-18/SOP-18/SSOP-18/SOIC-18W",relays solenoids lamps steppers servos LEDs,DIP*W7.62mm* SOP*7.0x12.5mm*P1.27mm* SSOP*4.4x6.5mm*P0.65mm* SOIC*7.5x11.6mm*P1.27mm*,http://toshiba.semicon-storage.com/info/docget.jsp?did=30523&prodName=TBD62783APG
Transistor_Array:TBD62785AFWG,TBD62785AFWG,MyLib_Package_SO:SOP-18_7.495x11.515mm_P1.27mm,"8-Channel Source Type Transistor Array, TTL and CMOS compatible, 500mA, 50V, SOP-18-18W",relays solenoids lamps steppers servos LEDs,SOP*7.495x11.515mm*P1.27mm*,https://toshiba.semicon-storage.com/info/TBD62785AFWG_datasheet_en_20170530.pdf?did=58399&prodName=TBD62785AFWG
Transistor_Array:TBD62785APG,TBD62785APG,MyLib_Package_DIP:DIP-18_W7.62mm,"8-Channel Source Type Transistor Array, TTL and CMOS compatible, 500mA, 50V, DIP-18-18W",relays solenoids lamps steppers servos LEDs,DIP*W7.62mm*,https://toshiba.semicon-storage.com/info/TBD62785APG_datasheet_en_20170530.pdf?did=58399&prodName=TBD62785APG
Transistor_Array:TPL7407LAD,TPL7407LAD,MyLib_Package_SO:SOIC-16_3.9x9.9mm_P1.27mm,"7-Channel Low Side Driver, CMOS Improvement of Darlington Array, 30V, SOIC-16",Relay Driver,SOIC*3.9x9.9mm*P1.27mm*,https://www.ti.com/lit/gpn/tpl7407la
Transistor_Array:TPL7407LAPW,TPL7407LAPW,MyLib_Package_SO:TSSOP-16_4.4x5mm_P0.65mm,"7-Channel Low Side Driver, CMOS Improvement of Darlington Array, 30V, TSSOP-16",Relay Driver,TSSOP*4.4x5mm*P0.65mm*,https://www.ti.com/lit/gpn/tpl7407la
Transistor_Array:ULN2002,ULN2002,,"High Voltage, High Current Darlington Transistor Arrays, SOIC16/SOIC16W/DIP16/TSSOP16",darlington transistor array,DIP*W7.62mm* SOIC*3.9x9.9mm*P1.27mm* SSOP*4.4x5.2mm*P0.65mm* TSSOP*4.4x5mm*P0.65mm* SOIC*W*5.3x10.2mm*P1.27mm*,http://www.ti.com/lit/ds/symlink/uln2003a.pdf
Transistor_Array:ULN2002A,ULN2002A,,"High Voltage, High Current Darlington Transistor Arrays, SOIC16/SOIC16W/DIP16/TSSOP16",darlington transistor array,DIP*W7.62mm* SOIC*3.9x9.9mm*P1.27mm* SSOP*4.4x5.2mm*P0.65mm* TSSOP*4.4x5mm*P0.65mm* SOIC*W*5.3x10.2mm*P1.27mm*,http://www.ti.com/lit/ds/symlink/uln2003a.pdf
Transistor_Array:ULN2003,ULN2003,,"High Voltage, High Current Darlington Transistor Arrays, SOIC16/SOIC16W/DIP16/TSSOP16",darlington transistor array,DIP*W7.62mm* SOIC*3.9x9.9mm*P1.27mm* SSOP*4.4x5.2mm*P0.65mm* TSSOP*4.4x5mm*P0.65mm* SOIC*W*5.3x10.2mm*P1.27mm*,http://www.ti.com/lit/ds/symlink/uln2003a.pdf
Transistor_Array:ULN2003A,ULN2003A,,"High Voltage, High Current Darlington Transistor Arrays, SOIC16/SOIC16W/DIP16/TSSOP16",darlington transistor array,DIP*W7.62mm* SOIC*3.9x9.9mm*P1.27mm* SSOP*4.4x5.2mm*P0.65mm* TSSOP*4.4x5mm*P0.65mm* SOIC*W*5.3x10.2mm*P1.27mm*,http://www.ti.com/lit/ds/symlink/uln2003a.pdf
Transistor_Array:ULN2004,ULN2004,,"High Voltage, High Current Darlington Transistor Arrays, SOIC16/SOIC16W/DIP16/TSSOP16",darlington transistor array,DIP*W7.62mm* SOIC*3.9x9.9mm*P1.27mm* SSOP*4.4x5.2mm*P0.65mm* TSSOP*4.4x5mm*P0.65mm* SOIC*W*5.3x10.2mm*P1.27mm*,http://www.ti.com/lit/ds/symlink/uln2003a.pdf
Transistor_Array:ULN2004A,ULN2004A,,"High Voltage, High Current Darlington Transistor Arrays, SOIC16/SOIC16W/DIP16/TSSOP16",darlington transistor array,DIP*W7.62mm* SOIC*3.9x9.9mm*P1.27mm* SSOP*4.4x5.2mm*P0.65mm* TSSOP*4.4x5mm*P0.65mm* SOIC*W*5.3x10.2mm*P1.27mm*,http://www.ti.com/lit/ds/symlink/uln2003a.pdf
Transistor_Array:ULN2801A,ULN2801A,,"Darlington Transistor Arrays, SOIC18/DIP18",darlington transistor array,DIP*W7.62mm* SOIC*7.5x11.6mm*P1.27mm*,http://www.promelec.ru/pdf/1536.pdf
Transistor_Array:ULN2802A,ULN2802A,,"Darlington Transistor Arrays, SOIC18/DIP18",darlington transistor array,DIP*W7.62mm* SOIC*7.5x11.6mm*P1.27mm*,http://www.promelec.ru/pdf/1536.pdf
Transistor_Array:ULN2803A,ULN2803A,,"Darlington Transistor Arrays, SOIC18/DIP18",Darlington transistor array,DIP*W7.62mm* SOIC*7.5x11.6mm*P1.27mm*,http://www.ti.com/lit/ds/symlink/uln2803a.pdf
Transistor_Array:ULN2804A,ULN2804A,,"Darlington Transistor Arrays, SOIC18/DIP18",darlington transistor array,DIP*W7.62mm* SOIC*7.5x11.6mm*P1.27mm*,http://www.promelec.ru/pdf/1536.pdf
Transistor_Array:ULN2805A,ULN2805A,,"Darlington Transistor Arrays, SOIC18/DIP18",darlington transistor array,DIP*W7.62mm* SOIC*7.5x11.6mm*P1.27mm*,http://www.promelec.ru/pdf/1536.pdf
Transistor_Array:ULQ2003A,ULQ2003A,,"High Voltage, High Current Darlington Transistor Arrays, SOIC16W/TSSOP16",darlington transistor array,DIP*W7.62mm* SOIC*3.9x9.9mm*P1.27mm* SSOP*4.4x5.2mm*P0.65mm* TSSOP*4.4x5mm*P0.65mm* SOIC*W*5.3x10.2mm*P1.27mm*,http://www.ti.com/lit/ds/symlink/uln2003a.pdf
Transistor_Array:ULQ2004A,ULQ2004A,,"High Voltage, High Current Darlington Transistor Arrays, SOIC16W/TSSOP16",darlington transistor array,DIP*W7.62mm* SOIC*3.9x9.9mm*P1.27mm* SSOP*4.4x5.2mm*P0.65mm* TSSOP*4.4x5mm*P0.65mm* SOIC*W*5.3x10.2mm*P1.27mm*,http://www.ti.com/lit/ds/symlink/uln2003a.pdf
Transistor_BJT:2N2219,2N2219,MyLib_Package_TO_SOT_THT:TO-39-3,"800mA Ic, 50V Vce, NPN Transistor, TO-39",NPN Transistor,TO?39*,http://www.onsemi.com/pub_link/Collateral/2N2219-D.PDF
Transistor_BJT:2N2646,2N2646,MyLib_Package_TO_SOT_THT:TO-18-3,"Unijunction Transistor, TO-18",UJT,TO?18*,"http://www.bucek.name/pdf/2n2646,2647.pdf"
Transistor_BJT:2N2647,2N2647,MyLib_Package_TO_SOT_THT:TO-18-3,"Unijunction Transistor, TO-18",UJT,TO?18*,"http://www.bucek.name/pdf/2n2646,2647.pdf"
Transistor_BJT:2N3055,2N3055,MyLib_Package_TO_SOT_THT:TO-3,"15A Ic, 60V Vce, Power NPN Transistor, TO-3",power NPN Transistor,TO?3*,http://www.onsemi.com/pub_link/Collateral/2N3055-D.PDF
Transistor_BJT:2N3904,2N3904,MyLib_Package_TO_SOT_THT:TO-92_Inline,"0.2A Ic, 40V Vce, Small Signal NPN Transistor, TO-92",NPN Transistor,TO?92*,https://www.onsemi.com/pub/Collateral/2N3903-D.PDF
Transistor_BJT:2N3905,2N3905,MyLib_Package_TO_SOT_THT:TO-92_Inline,"-0.2A Ic, -40V Vce, Small Signal PNP Transistor, TO-92",PNP Transistor,TO?92*,https://www.nteinc.com/specs/original/2N3905_06.pdf
