KeyId,MyPN,Name,Description,Value,Value2,FET_Type,Channel,Mode,Material,VDS,VGS,VGS_Threshold,ID_Continuous,ID_Pulse,RDS_On,RDS_On_Condition,Power_Total,Input_Capacitance,Output_Capacitance,Reverse_Capacitance,Gate_Charge_Total,Gate_Charge_GS,Gate_Charge_GD,Turn_On_Delay,Rise_Time,Turn_Off_Delay,Fall_Time,Diode_Forward_Voltage,Diode_Recovery_Time,IDSS,IGSS,Package,Dimensions,Height,Mount,MinTemp,MaxTemp,Operating_Temp,MSL_Rating,Symbol,Footprint,Footprint_Filter,Datasheet,RoHS_Compliant,REACH_Compliant,Manufacturer,Manufacturer_PN,Series,LCSC_PN,LCSC_URL,Mouser_PN,Mouser_URL,Digikey_PN,Digikey_URL,Farnell_PN,TME_PN,Alternative_PN,Internal_Code,Category,Subcategory,StockQty,Min_Stock,Max_Stock,StockPlace,Stock_Unit,Reel_Size,Price,Currency,Last_Purchase_Date,Last_Purchase_Price,Supplier,Active,Notes,Tags,CreatedBy,CreatedAt,ModifiedBy,ModifiedAt,Version,Exclude_from_BOM,Exclude_from_Board
,EL-TST-000001,2N7000,"Small Signal MOSFET, 200mA, 60V, N-Channel, TO-92",N-MOS 60V 0.2A 5Ω,Qg 1.5nC,MOSFET,N-Channel,Enhancement,Silicon,60V,±20V,0.8-3.0V,0.2A,0.5A,5Ω,"VGS=10V, ID=0.5A",350mW,60pF,25pF,5pF,,,,10ns,,10ns,,,,1µA,10nA,TO-92,4.45x5.20mm,12.70mm,THT,,,-55 to 150°C,,MyLib_Transistor:Q_NMOS_GDS,MyLib_Package_TO_SOT_THT:TO-92,TO?92*,,1,1,ON Semiconductor,2N7000,,,,,,,,,,,,Transistor,FET,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000002,IRFZ44N,"Power MOSFET, 49A, 55V, 17.5mΩ, TO-220",N-MOS 55V 49A 17.5mΩ,Qg 44nC,MOSFET,N-Channel,Enhancement,Silicon,55V,±20V,2-4V,49A,200A,17.5mΩ,"VGS=10V, ID=25A",110W,2000pF,550pF,180pF,44nC,11nC,19nC,14ns,60ns,30ns,35ns,1.3V,68ns,25µA,100nA,TO-220,10.54x14.99mm,4.57mm,THT,,,-55 to 175°C,,MyLib_Transistor:Q_NMOS_GDS,MyLib_Package_TO_SOT_THT:TO-220-3_Vertical,TO?220*,,1,1,Infineon,IRFZ44N,,,,,,,,,,,,Transistor,FET,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000003,BSS138,"Logic Level N-Channel MOSFET, 200mA, 50V, SOT-23",N-MOS 50V 0.2A 3.5Ω,Logic Level,MOSFET,N-Channel,Enhancement,Silicon,50V,±20V,0.5-1.5V,0.2A,0.5A,3.5Ω,"VGS=10V, ID=0.2A",360mW,50pF,25pF,8pF,,,,,,,,1.0V,,1µA,100nA,SOT-23,2.90x2.30mm,1.10mm,SMD,,,-55 to 150°C,,MyLib_Transistor:Q_NMOS_GDS,MyLib_Package_TO_SOT_SMD:SOT-23,SOT?23*,,1,1,ON Semiconductor,BSS138,,,,,,,,,,,,Transistor,FET,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000004,IRF9540N,"P-Channel HEXFET Power MOSFET, -100V, -23A, D2PAK",P-MOS 100V 23A 117mΩ,Qg 64.7nC,MOSFET,P-Channel,Enhancement,Silicon,-100V,±20V,2-4V,-23A,-76A,117mΩ,"VGS=-10V, ID=-14A",140W,1450pF,530pF,210pF,64.7nC,14nC,26nC,13ns,67ns,40ns,51ns,-1.3V,110ns,-25µA,±100nA,D2PAK,10.67x9.65mm,4.83mm,SMD,,,-55 to 175°C,,MyLib_Transistor:Q_PMOS_GDS,MyLib_Package_TO_SOT_SMD:TO-263-3_TabPin4,TO?263*,,1,1,Infineon,IRF9540NSTRLPBF,,,,,,,,,,,,Transistor,FET,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000005,2N3819,"N-Channel RF Amplifier JFET, 50mA, 25V, TO-92",N-JFET 25V 20mA,"RF, 450MHz",JFET,N-Channel,Depletion,Silicon,25V,-25V,1-7.5V,20mA,,,,350mW,8pF,,4pF,,,,,,,,,,2-20mA,2nA,TO-92,4.58x4.58mm,14.47mm,THT,,,-55 to 150°C,,MyLib_Transistor:Q_NJFET_GDS,MyLib_Package_TO_SOT_THT:TO-92,TO?92*,,1,1,ON Semiconductor,2N3819,,,,,,,,,,,,Transistor,FET,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000006,BS250,"P-Channel Enhancement Mode MOSFET, -90mA, -45V, TO-92",P-MOS 45V 0.18A 14Ω,,MOSFET,P-Channel,Enhancement,Silicon,-45V,±20V,-1.5 to -3.5V,-0.18A,-0.5A,14Ω,"VGS=-10V, ID=-0.18A",800mW,100pF,40pF,15pF,,,,,15.5ns,,15.5ns,-1.5V,,-10µA,±10nA,TO-92,4.45x5.20mm,12.70mm,THT,,,-55 to 150°C,,MyLib_Transistor:Q_PMOS_GDS,MyLib_Package_TO_SOT_THT:TO-92,TO?92*,,1,1,Vishay,BS250,,,,,,,,,,,,Transistor,FET,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000007,DMG2302U,"N-Channel Enhancement Mode MOSFET, 20V, 4.2A, SOT-23",N-MOS 20V 4.2A 28mΩ,Low RDS,MOSFET,N-Channel,Enhancement,Silicon,20V,±12V,0.5-1.0V,4.2A,25A,28mΩ,"VGS=4.5V, ID=4.2A",1.25W,400pF,110pF,50pF,10nC,1.8nC,4.2nC,4.2ns,17ns,17.8ns,11ns,1.2V,15ns,1µA,±1µA,SOT-23,2.90x2.30mm,1.10mm,SMD,,,-55 to 150°C,,MyLib_Transistor:Q_NMOS_GDS,MyLib_Package_TO_SOT_SMD:SOT-23,SOT?23*,,1,1,Diodes Inc.,DMG2302U-7,,,,,,,,,,,,Transistor,FET,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000008,IRF3205,"HEXFET Power MOSFET, 110A, 55V, 8mΩ, TO-220",N-MOS 55V 110A 8mΩ,Ultra Low RDS,MOSFET,N-Channel,Enhancement,Silicon,55V,±20V,2-4V,110A,390A,8mΩ,"VGS=10V, ID=62A",200W,3247pF,781pF,211pF,146nC,35nC,54nC,14ns,101ns,50ns,65ns,1.3V,69ns,25µA,100nA,TO-220,10.54x14.99mm,4.57mm,THT,,,-55 to 175°C,,MyLib_Transistor:Q_NMOS_GDS,MyLib_Package_TO_SOT_THT:TO-220-3_Vertical,TO?220*,,1,1,Infineon,IRF3205,,,,,,,,,,,,Transistor,FET,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000009,IRF4905,"P-Channel HEXFET Power MOSFET, -55V, -74A, 20mΩ, TO-220",P-MOS 55V 74A 20mΩ,Ultra Low RDS,MOSFET,P-Channel,Enhancement,Silicon,-55V,±20V,-2 to -4V,-74A,-280A,20mΩ,"VGS=-10V, ID=-42A",200W,3500pF,1250pF,450pF,120nC,32nC,53nC,20ns,99ns,51ns,64ns,-1.3V,61ns,-25µA,±100nA,TO-220,10.54x14.99mm,4.57mm,THT,,,-55 to 175°C,,MyLib_Transistor:Q_PMOS_GDS,MyLib_Package_TO_SOT_THT:TO-220-3_Vertical,TO?220*,,1,1,Infineon,IRF4905,,,,,,,,,,,,Transistor,FET,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000010,IRLZ44N,"Logic Level N-Channel Power MOSFET, 55V, 41A, 22mΩ, TO-220",N-MOS 55V 41A 22mΩ,Logic Level,MOSFET,N-Channel,Enhancement,Silicon,55V,±16V,1-2V,41A,160A,22mΩ,"VGS=10V, ID=25A",110W,1700pF,400pF,140pF,45nC,12nC,18nC,12ns,58ns,28ns,34ns,1.1V,65ns,25µA,100nA,TO-220,10.54x14.99mm,4.57mm,THT,,,-55 to 175°C,,MyLib_Transistor:Q_NMOS_GDS,MyLib_Package_TO_SOT_THT:TO-220-3_Vertical,TO?220*,,1,1,Infineon,IRLZ44NPBF,,,,,,,,,,,,Transistor,FET,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000011,BSS84,"P-Channel Enhancement Mode MOSFET, -50V, -0.13A, SOT-23",P-MOS 50V 0.13A 10Ω,,MOSFET,P-Channel,Enhancement,Silicon,-50V,±20V,-0.8 to -2.0V,-0.13A,-0.52A,10Ω,"VGS=-10V, ID=-0.13A",360mW,60pF,25pF,12pF,,,,,,,14ns,-1.0V,60ns,-10µA,±10nA,SOT-23,2.90x2.30mm,1.10mm,SMD,,,-55 to 150°C,,MyLib_Transistor:Q_PMOS_GDS,MyLib_Package_TO_SOT_SMD:SOT-23,SOT?23*,,1,1,ON Semiconductor,BSS84,,,,,,,,,,,,Transistor,FET,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000012,IRF540N,"HEXFET Power MOSFET, 100V, 33A, 44mΩ, TO-220",N-MOS 100V 33A 44mΩ,,MOSFET,N-Channel,Enhancement,Silicon,100V,±20V,2-4V,33A,130A,44mΩ,"VGS=10V, ID=21A",130W,1700pF,480pF,150pF,71nC,16nC,28nC,14ns,53ns,37ns,43ns,1.3V,69ns,25µA,100nA,TO-220,10.54x14.99mm,4.57mm,THT,,,-55 to 175°C,,MyLib_Transistor:Q_NMOS_GDS,MyLib_Package_TO_SOT_THT:TO-220-3_Vertical,TO?220*,,1,1,Infineon,IRF540N,,,,,,,,,,,,Transistor,FET,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000013,2N7002,"Small Signal MOSFET, 60V, 0.115A, SOT-23",N-MOS 60V 0.115A 5Ω,,MOSFET,N-Channel,Enhancement,Silicon,60V,±20V,0.8-3V,0.115A,0.4A,5Ω,"VGS=10V, ID=0.115A",360mW,50pF,15pF,5pF,,,,6ns,5.5ns,20ns,13ns,,,1µA,10nA,SOT-23,2.90x2.30mm,1.10mm,SMD,,,-55 to 150°C,,MyLib_Transistor:Q_NMOS_GDS,MyLib_Package_TO_SOT_SMD:SOT-23,SOT?23*,,1,1,ON Semiconductor,2N7002,,,,,,,,,,,,Transistor,FET,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000014,IRF840,"N-Channel Power MOSFET, 500V, 8A, 850mΩ, TO-220",N-MOS 500V 8A 850mΩ,High Voltage,MOSFET,N-Channel,Enhancement,Silicon,500V,±20V,2-4V,8A,32A,850mΩ,"VGS=10V, ID=4.8A",125W,1300pF,170pF,30pF,63nC,12nC,22nC,15ns,27ns,35ns,25ns,1.5V,350ns,25µA,100nA,TO-220,10.54x14.99mm,4.57mm,THT,,,-55 to 150°C,,MyLib_Transistor:Q_NMOS_GDS,MyLib_Package_TO_SOT_THT:TO-220-3_Vertical,TO?220*,,1,1,Infineon,IRF840,,,,,,,,,,,,Transistor,FET,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000015,IRLML6402,"P-Channel HEXFET Power MOSFET, -20V, -3.7A, 65mΩ, SOT-23",P-MOS 20V 3.7A 65mΩ,Logic Level,MOSFET,P-Channel,Enhancement,Silicon,-20V,±12V,-0.55 to -1.0V,-3.7A,-14A,65mΩ,"VGS=-4.5V, ID=-3.1A",1.3W,690pF,330pF,150pF,12nC,2.2nC,4.6nC,13ns,28ns,22ns,18ns,-1.0V,18ns,-1µA,±100nA,SOT-23,2.90x2.30mm,1.10mm,SMD,,,-55 to 150°C,,MyLib_Transistor:Q_PMOS_GDS,MyLib_Package_TO_SOT_SMD:SOT-23,SOT?23*,,1,1,Infineon,IRLML6402,,,,,,,,,,,,Transistor,FET,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000016,AO3400A,"N-Channel Enhancement Mode MOSFET, 30V, 5.7A, SOT-23",N-MOS 30V 5.7A 28.5mΩ,Low RDS,MOSFET,N-Channel,Enhancement,Silicon,30V,±12V,1.2-2.1V,5.7A,30A,28.5mΩ,"VGS=10V, ID=5.7A",1.4W,750pF,165pF,110pF,15nC,2.5nC,5.2nC,4.2ns,11.5ns,25ns,5.5ns,1.2V,9.5ns,1µA,±100nA,SOT-23,2.90x2.30mm,1.10mm,SMD,,,-55 to 150°C,,MyLib_Transistor:Q_NMOS_GDS,MyLib_Package_TO_SOT_SMD:SOT-23,SOT?23*,,1,1,Alpha & Omega,AO3400A,,,,,,,,,,,,Transistor,FET,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000017,AO3401A,"P-Channel Enhancement Mode MOSFET, -30V, -4.0A, SOT-23",P-MOS 30V 4.0A 52mΩ,,MOSFET,P-Channel,Enhancement,Silicon,-30V,±12V,-0.7 to -1.5V,-4.0A,-20A,52mΩ,"VGS=-10V, ID=-4.0A",1.4W,1150pF,260pF,150pF,14nC,2.1nC,4.8nC,6.2ns,19ns,35ns,14.5ns,-1.1V,13.5ns,-1µA,±100nA,SOT-23,2.90x2.30mm,1.10mm,SMD,,,-55 to 150°C,,MyLib_Transistor:Q_PMOS_GDS,MyLib_Package_TO_SOT_SMD:SOT-23,SOT?23*,,1,1,Alpha & Omega,AO3401A,,,,,,,,,,,,Transistor,FET,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000018,DN2540N5-G,"Depletion-mode N-Channel MOSFET, 400V, 150mA, 25Ω, TO-220",N-Dep 400V 0.15A 25Ω,Normally-On,MOSFET,N-Channel,Depletion,Silicon,400V,±20V,-1.8 to -3.5V,0.15A,0.5A,25Ω,"VGS=0V, ID=0.1A",15W,180pF,45pF,20pF,,,,,,,,0.8V,,1µA,10nA,TO-220,10.54x14.99mm,4.57mm,THT,,,-55 to 150°C,,MyLib_Transistor:Q_NMOS_Depletion_GDS,MyLib_Package_TO_SOT_THT:TO-220-3_Vertical,TO?220*,,1,1,Microchip,DN2540N5-G,,,,,,,,,,,,Transistor,FET,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000019,DN2540N3-G,"Depletion-mode N-Channel MOSFET, 400V, 150mA, 25Ω, TO-92",N-Dep 400V 0.15A 25Ω,Normally-On,MOSFET,N-Channel,Depletion,Silicon,400V,±20V,-1.8 to -3.5V,0.15A,0.5A,25Ω,"VGS=0V, ID=0.1A",1W,180pF,45pF,20pF,,,,,,,,0.8V,,1µA,10nA,TO-92,4.45x5.20mm,12.70mm,THT,,,-55 to 150°C,,MyLib_Transistor:Q_NMOS_Depletion_GDS,MyLib_Package_TO_SOT_THT:TO-92,TO?92*,,1,1,Microchip,DN2540N3-G,,,,,,,,,,,,Transistor,FET,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000020,BUK7M10-40EX,"N-Channel TrenchMOS MOSFET, 40V, 56A, 10mΩ, LFPAK33",N-MOS 40V 56A 10mΩ,Automotive,MOSFET,N-Channel,Enhancement,Silicon,40V,±10V,1.8-2.8V,56A,220A,10mΩ,"VGS=10V, ID=25A",71W,1200pF,380pF,45pF,19.5nC,5.2nC,4.9nC,26ns,28ns,31ns,12ns,1.0V,37ns,1µA,100nA,LFPAK33,3.30x3.30mm,0.85mm,SMD,,,-55 to 175°C,,MyLib_Transistor:Q_NMOS_GDS,MyLib_Package_TO_SOT_SMD:LFPAK33,LFPAK33*,,1,1,Nexperia,BUK7M10-40EX,,,,,,,,,,,,Transistor,FET,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000021,BUK9M5R2-30EX,"N-Channel TrenchMOS Logic Level MOSFET, 30V, 70A, 4.1mΩ, LFPAK33",N-MOS 30V 70A 4.1mΩ,"Automotive, Logic Level",MOSFET,N-Channel,Enhancement,Silicon,30V,±10V,1.0-2.1V,70A,280A,4.1mΩ,"VGS=5V, ID=25A",85W,2035pF,585pF,70pF,22.5nC,6.2nC,5.8nC,28ns,32ns,35ns,15ns,0.9V,31ns,1µA,100nA,LFPAK33,3.30x3.30mm,0.85mm,SMD,,,-55 to 175°C,,MyLib_Transistor:Q_NMOS_GDS,MyLib_Package_TO_SOT_SMD:LFPAK33,LFPAK33*,,1,1,Nexperia,BUK9M5R2-30EX,,,,,,,,,,,,Transistor,FET,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000022,IRF7311PBF,"Dual N-Channel HEXFET MOSFET, 20V, 6.6A, 29mΩ, SOIC-8",Dual N-MOS 20V 6.6A 29mΩ,Half Bridge,MOSFET,N-Channel,Enhancement,Silicon,20V,±12V,0.7-1.8V,6.6A,16A,29mΩ,"VGS=4.5V, ID=6.6A",2W,1200pF,480pF,180pF,24nC,3.6nC,7.2nC,6.7ns,13ns,23ns,14ns,1.2V,24ns,1µA,100nA,SOIC-8,4.98x3.99mm,1.75mm,SMD,,,-55 to 150°C,,MyLib_Transistor:Q_Dual_NMOS_G1S2G2D2S1D1,MyLib_Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,SOIC*3.9x4.9mm*P1.27mm*,,1,1,Infineon,IRF7311PBF,,,,,,,,,,,,Transistor,FET,,,,,pcs,,,,,,,1,,,,,,,,0,0
