KeyId,MyPN,Name,Description,Symbol,Category,Subcategory,Family,Value,Value2,Inductance,Tolerance,DC_Resistance,Rated_Current,Rated_Voltage,Saturation_Current,Self_Resonant_Frequency,Quality_Factor_Q,Lead_Spacing,Core_Shape,Test_Frequency,Type,Core_Material,Shielding,Winding_Type,Package,Footprint,Footprint_Filter,Dimensions,Length,Width,Height,Weight,Termination,Terminal_Type,Mount,Min_Temp,Max_Temp,Operating_Temp,Temp_Rise,Reflow_Profile,MSL_Rating,Application,Datasheet,RoHS_Compliant,REACH_Compliant,Halogen_Free,Manufacturer,Manufacturer_PN,Series,LCSC_PN,LCSC_URL,Mouser_PN,Mouser_URL,Digikey_PN,Digikey_URL,Farnell_PN,TME_PN,Alternative_PN,Internal_Code,StockQty,Min_Stock,Max_Stock,StockPlace,Stock_Unit,Reel_Size,Tape_Width,Price,Currency,Last_Purchase_Date,Last_Purchase_Price,Supplier,Active,Notes,Tags,CreatedBy,CreatedAt,ModifiedBy,ModifiedAt,Exclude_from_BOM,Exclude_from_Board
,EL-IND-010101,IND_POWER_0.33uH_6.2A_0R0073_SHIELDED_DR73,Power Inductor 0.33µH 6.2A Shielded 7.3x7.3mm (Eaton DR73),MyLib_Inductor:L,Inductors,,Power_SMD,0.33µH,,0.33µH,±20%,0.0073Ω,6.2A,,14.4A,,,,,,,Ferrite,Shielded,,DR73,MyLib_Inductor_SMD:L_7.3x7.3_H4.5,DR73,7.3x7.3x3.8mm,7.3mm,7.3mm,3.8mm,,,,SMD,,,-40°C to +125°C,,,,,,1,,,Eaton,DR73-R33-R,DR73,,,,,,,,,,,,,,,piece,13,8mm,,USD,,,,1,,,,2026-02-01 03:42:10,,,0,0
,EL-IND-010102,IND_POWER_1.0uH_5.28A_0R0102_SHIELDED_DR73,Power Inductor 1.0µH 5.28A Shielded 7.3x7.3mm (Eaton DR73),MyLib_Inductor:L,Inductors,,Power_SMD,1.0µH,,1.0µH,±20%,0.0102Ω,5.28A,,7.97A,,,,,,,Ferrite,Shielded,,DR73,MyLib_Inductor_SMD:L_7.3x7.3_H4.5,DR73,7.3x7.3x3.8mm,7.3mm,7.3mm,3.8mm,,,,SMD,,,-40°C to +125°C,,,,,,1,,,Eaton,DR73-1R0-R,DR73,,,,,,,,,,,,,,,piece,13,8mm,,USD,,,,1,,,,2026-02-01 03:42:10,,,0,0
,EL-IND-010103,IND_POWER_1.5uH_4.67A_0R0130_SHIELDED_DR73,Power Inductor 1.5µH 4.67A Shielded 7.3x7.3mm (Eaton DR73),MyLib_Inductor:L,Inductors,,Power_SMD,1.5µH,,1.5µH,±20%,0.0130Ω,4.67A,,6.52A,,,,,,,Ferrite,Shielded,,DR73,MyLib_Inductor_SMD:L_7.3x7.3_H4.5,DR73,7.3x7.3x3.8mm,7.3mm,7.3mm,3.8mm,,,,SMD,,,-40°C to +125°C,,,,,,1,,,Eaton,DR73-1R5-R,DR73,,,,,,,,,,,,,,,piece,13,8mm,,USD,,,,1,,,,2026-02-01 03:42:10,,,0,0
,EL-IND-010104,IND_POWER_2.2uH_4.15A_0R0165_SHIELDED_DR73,Power Inductor 2.2µH 4.15A Shielded 7.3x7.3mm (Eaton DR73),MyLib_Inductor:L,Inductors,,Power_SMD,2.2µH,,2.2µH,±20%,0.0165Ω,4.15A,,5.52A,,,,,,,Ferrite,Shielded,,DR73,MyLib_Inductor_SMD:L_7.3x7.3_H4.5,DR73,7.3x7.3x3.8mm,7.3mm,7.3mm,3.8mm,,,,SMD,,,-40°C to +125°C,,,,,,1,,,Eaton,DR73-2R2-R,DR73,,,,,,,,,,,,,,,piece,13,8mm,,USD,,,,1,,,,2026-02-01 03:42:10,,,0,0
,EL-IND-010105,IND_POWER_3.3uH_3.31A_0R0259_SHIELDED_DR73,Power Inductor 3.3µH 3.31A Shielded 7.3x7.3mm (Eaton DR73),MyLib_Inductor:L,Inductors,,Power_SMD,3.3µH,,3.3µH,±20%,0.0259Ω,3.31A,,4.22A,,,,,,,Ferrite,Shielded,,DR73,MyLib_Inductor_SMD:L_7.3x7.3_H4.5,DR73,7.3x7.3x3.8mm,7.3mm,7.3mm,3.8mm,,,,SMD,,,-40°C to +125°C,,,,,,1,,,Eaton,DR73-3R3-R,DR73,,,,,,,,,,,,,,,piece,13,8mm,,USD,,,,1,,,,2026-02-01 03:42:10,,,0,0
,EL-IND-010106,IND_POWER_4.7uH_3.09A_0R0297_SHIELDED_DR73,Power Inductor 4.7µH 3.09A Shielded 7.3x7.3mm (Eaton DR73),MyLib_Inductor:L,Inductors,,Power_SMD,4.7µH,,4.7µH,±20%,0.0297Ω,3.09A,,3.78A,,,,,,,Ferrite,Shielded,,DR73,MyLib_Inductor_SMD:L_7.3x7.3_H4.5,DR73,7.3x7.3x3.8mm,7.3mm,7.3mm,3.8mm,,,,SMD,,,-40°C to +125°C,,,,,,1,,,Eaton,DR73-4R7-R,DR73,,,,,,,,,,,,,,,piece,13,8mm,,USD,,,,1,,,,2026-02-01 03:42:10,,,0,0
,EL-IND-010107,IND_POWER_6.8uH_2.55A_0R0435_SHIELDED_DR73,Power Inductor 6.8µH 2.55A Shielded 7.3x7.3mm (Eaton DR73),MyLib_Inductor:L,Inductors,,Power_SMD,6.8µH,,6.8µH,±20%,0.0435Ω,2.55A,,3.12A,,,,,,,Ferrite,Shielded,,DR73,MyLib_Inductor_SMD:L_7.3x7.3_H4.5,DR73,7.3x7.3x3.8mm,7.3mm,7.3mm,3.8mm,,,,SMD,,,-40°C to +125°C,,,,,,1,,,Eaton,DR73-6R8-R,DR73,,,,,,,,,,,,,,,piece,13,8mm,,USD,,,,1,,,,2026-02-01 03:42:10,,,0,0
,EL-IND-010108,IND_POWER_8.2uH_2.19A_0R0592_SHIELDED_DR73,Power Inductor 8.2µH 2.19A Shielded 7.3x7.3mm (Eaton DR73),MyLib_Inductor:L,Inductors,,Power_SMD,8.2µH,,8.2µH,±20%,0.0592Ω,2.19A,,2.66A,,,,,,,Ferrite,Shielded,,DR73,MyLib_Inductor_SMD:L_7.3x7.3_H4.5,DR73,7.3x7.3x3.8mm,7.3mm,7.3mm,3.8mm,,,,SMD,,,-40°C to +125°C,,,,,,1,,,Eaton,DR73-8R2-R,DR73,,,,,,,,,,,,,,,piece,13,8mm,,USD,,,,1,,,,2026-02-01 03:42:10,,,0,0
,EL-IND-010109,IND_POWER_10uH_2.08A_0R0656_SHIELDED_DR73,Power Inductor 10µH 2.08A Shielded 7.3x7.3mm (Eaton DR73),MyLib_Inductor:L,Inductors,,Power_SMD,10µH,,10µH,±20%,0.0656Ω,2.08A,,2.47A,,,,,,,Ferrite,Shielded,,DR73,MyLib_Inductor_SMD:L_7.3x7.3_H4.5,DR73,7.3x7.3x3.8mm,7.3mm,7.3mm,3.8mm,,,,SMD,,,-40°C to +125°C,,,,,,1,,,Eaton,DR73-100-R,DR73,,,,,,,,,,,,,,,piece,13,8mm,,USD,,,,1,,,,2026-02-01 03:42:10,,,0,0
,EL-IND-010110,IND_POWER_15uH_1.83A_0R0844_SHIELDED_DR73,Power Inductor 15µH 1.83A Shielded 7.3x7.3mm (Eaton DR73),MyLib_Inductor:L,Inductors,,Power_SMD,15µH,,15µH,±20%,0.0844Ω,1.83A,,2.05A,,,,,,,Ferrite,Shielded,,DR73,MyLib_Inductor_SMD:L_7.3x7.3_H4.5,DR73,7.3x7.3x3.8mm,7.3mm,7.3mm,3.8mm,,,,SMD,,,-40°C to +125°C,,,,,,1,,,Eaton,DR73-150-R,DR73,,,,,,,,,,,,,,,piece,13,8mm,,USD,,,,1,,,,2026-02-01 03:42:10,,,0,0
,EL-IND-010111,IND_POWER_22uH_1.62A_0R107_SHIELDED_DR73,Power Inductor 22µH 1.62A Shielded 7.3x7.3mm (Eaton DR73),MyLib_Inductor:L,Inductors,,Power_SMD,22µH,,22µH,±20%,0.107Ω,1.62A,,1.67A,,,,,,,Ferrite,Shielded,,DR73,MyLib_Inductor_SMD:L_7.3x7.3_H4.5,DR73,7.3x7.3x3.8mm,7.3mm,7.3mm,3.8mm,,,,SMD,,,-40°C to +125°C,,,,,,1,,,Eaton,DR73-220-R,DR73,,,,,,,,,,,,,,,piece,13,8mm,,USD,,,,1,,,,2026-02-01 03:42:10,,,0,0
,EL-IND-010112,IND_POWER_33uH_1.31A_0R166_SHIELDED_DR73,Power Inductor 33µH 1.31A Shielded 7.3x7.3mm (Eaton DR73),MyLib_Inductor:L,Inductors,,Power_SMD,33µH,,33µH,±20%,0.166Ω,1.31A,,1.35A,,,,,,,Ferrite,Shielded,,DR73,MyLib_Inductor_SMD:L_7.3x7.3_H4.5,DR73,7.3x7.3x3.8mm,7.3mm,7.3mm,3.8mm,,,,SMD,,,-40°C to +125°C,,,,,,1,,,Eaton,DR73-330-R,DR73,,,,,,,,,,,,,,,piece,13,8mm,,USD,,,,1,,,,2026-02-01 03:42:10,,,0,0
