"Symbol","Value","Footprint","Description","Tags","Footprint_Filter","Datasheet"
"Auxiliary_Items:Jumper_Shunt","Jumper_Shunt","","Jumper or shunt, off-board part","jumper shunt ","","~"
"Auxiliary_Items:MountingScrew","MountingScrew","","Mounting screw","mounting screw","Screw?Generic*","~"
"Jumper:Jumper_2_Bridged","Jumper_2_Bridged","","Jumper, 2-pole, closed/bridged","Jumper SPST","Jumper* TestPoint*2Pads* TestPoint*Bridge*","~"
"Jumper:Jumper_2_Open","Jumper_2_Open","","Jumper, 2-pole, open","Jumper SPST","Jumper* TestPoint*2Pads* TestPoint*Bridge*","~"
"Jumper:Jumper_2_Small_Bridged","Jumper_2_Small_Bridged","","Jumper, 2-pole, small symbol, bridged","Jumper SPST","Jumper* TestPoint*2Pads* TestPoint*Bridge*","~"
"Jumper:Jumper_2_Small_Open","Jumper_2_Small_Open","","Jumper, 2-pole, small symbol, open","Jumper SPST","Jumper* TestPoint*2Pads* TestPoint*Bridge*","~"
"Jumper:Jumper_3_Bridged12","Jumper_3_Bridged12","","Jumper, 3-pole, pins 1+2 closed/bridged","Jumper SPDT","Jumper* TestPoint*3Pads* TestPoint*Bridge*","~"
"Jumper:Jumper_3_Open","Jumper_3_Open","","Jumper, 3-pole, both open","Jumper SPDT","Jumper* TestPoint*3Pads* TestPoint*Bridge*","~"
"Jumper:SolderJumper_2_Bridged","SolderJumper_2_Bridged","","Solder Jumper, 2-pole, closed/bridged","solder jumper SPST","SolderJumper*Bridged*","~"
"Jumper:SolderJumper_2_Open","SolderJumper_2_Open","","Solder Jumper, 2-pole, open","solder jumper SPST","SolderJumper*Open*","~"
"Jumper:SolderJumper_3_Bridged12","SolderJumper_3_Bridged12","","3-pole Solder Jumper, pins 1+2 closed/bridged","Solder Jumper SPDT","SolderJumper*Bridged12*","~"
"Jumper:SolderJumper_3_Bridged123","SolderJumper_3_Bridged123","","Solder Jumper, 3-pole, pins 1+2+3 closed/bridged","Solder Jumper SPDT","SolderJumper*Bridged123*","~"
"Jumper:SolderJumper_3_Open","SolderJumper_3_Open","","Solder Jumper, 3-pole, open","Solder Jumper SPDT","SolderJumper*Open*","~"
"Mechanical:DIN_Rail_Adapter","DIN_Rail_Adapter","","DIN Rail adapter universal, mounting holes without connection","Mounting holes, DIN rail adapter","DINRailAdapter?3xM3* DINRailAdapter?2xM3*","~"
"Mechanical:Fiducial","Fiducial","","Fiducial Marker","fiducial marker","Fiducial*","~"
"Mechanical:Heatsink","Heatsink","","Heatsink","thermal heat temperature","Heatsink_*","~"
"Mechanical:Heatsink_Pad","Heatsink_Pad","","Heatsink with electrical connection, 1 pin","thermal heat temperature","Heatsink_*","~"
"Mechanical:Heatsink_Pad_2Pin","Heatsink_Pad_2Pin","","Heatsink with electrical connection, 2 pin","thermal heat temperature","Heatsink_*","~"
"Mechanical:Heatsink_Pad_3Pin","Heatsink_Pad_3Pin","","Heatsink with electrical connection, 3 pin","thermal heat temperature","Heatsink_*","~"
"Mechanical:Housing","Housing","","Housing","housing enclosure","Enclosure* Housing*","~"
"Mechanical:Housing_Pad","Housing_Pad","","Housing with connection pin","housing enclosure shield","","~"
"Mechanical:Mechanical_Shape","Mechanical_Shape","","Mechanical shape, non-electric, board outlines","Mechanical Shape Outline","*Shape* *Outline*","~"
"Mechanical:MountingHole","MountingHole","","Mounting Hole without connection","mounting hole","MountingHole*","~"
"Mechanical:MountingHole_Pad","MountingHole_Pad","","Mounting Hole with connection","mounting hole","MountingHole*Pad*","~"
"Mechanical:MountingHole_Pad_MP","MountingHole_Pad_MP","","Mounting Hole with connection as pad named MP","mounting hole","MountingHole*Pad*","~"
"Mechanical:MouseBite","MouseBite","","Mouse bites, break lines","mouse break line","MouseBite* BreakLine*","~"
