"Symbol","Value","Footprint","Description","Tags","Footprint_Filter","Datasheet"
"Switch:CK_KMS2xxG","CK_KMS2xxG","MyLib_Button_Switch_SMD:SW_SPST_CK_KMS2xxGP","Microminiature SMT Side Actuated, 4.2 x 2.8 x 1.42mm, without pegs, with shield pin","switch normally-open pushbutton push-button","*SW*KMS2*G*","https://www.ckswitches.com/media/1482/kms.pdf"
"Switch:CK_KMS2xxGP","CK_KMS2xxGP","MyLib_Button_Switch_SMD:SW_SPST_CK_KMS2xxGP","Microminiature SMT Side Actuated, 4.2 x 2.8 x 1.42mm, with pegs, with shield pin","switch normally-open pushbutton push-button","*SW*KMS2*GP*","https://www.ckswitches.com/media/1482/kms.pdf"
"Switch:SW_Coded","SW_Coded","","Rotary switch, 4-bit encoding","rotary hex","","~"
"Switch:SW_Coded_SH-7010","SW_Coded_SH-7010","","Rotary switch, 4-bit encoding, 10 positions, Real code","rotary bcd Real","Nidec*Copal*SH*7010*","https://www.nidec-copal-electronics.com/e/catalog/switch/sh-7000.pdf"
"Switch:SW_Coded_SH-7030","SW_Coded_SH-7030","","Rotary switch, 4-bit encoding, 10 positions, Complementary code","rotary bcd Complementary","Nidec*Copal*SH*7010*","https://www.nidec-copal-electronics.com/e/catalog/switch/sh-7000.pdf"
"Switch:SW_Coded_SH-7040","SW_Coded_SH-7040","MyLib_Button_Switch_SMD:Nidec_Copal_SH-7040B","Rotary switch, 4-bit encoding, 10 positions, Gray code","rotary bcd Gray","Nidec*Copal*SH*7040*","https://www.nidec-copal-electronics.com/e/catalog/switch/sh-7000.pdf"
"Switch:SW_Coded_SH-7050","SW_Coded_SH-7050","","Rotary switch, 4-bit encoding, 16 positions, Real code","rotary hex Real","Nidec*Copal*SH*7010*","https://www.nidec-copal-electronics.com/e/catalog/switch/sh-7000.pdf"
"Switch:SW_Coded_SH-7070","SW_Coded_SH-7070","","Rotary switch, 4-bit encoding, 16 positions, Complementary code","rotary hex Complementary","Nidec*Copal*SH*7010*","https://www.nidec-copal-electronics.com/e/catalog/switch/sh-7000.pdf"
"Switch:SW_Coded_SH-7080","SW_Coded_SH-7080","MyLib_Button_Switch_SMD:Nidec_Copal_SH-7040B","Rotary switch, 4-bit encoding, 16 positions, Gray code","rotary hex Gray","Nidec*Copal*SH*7040*","https://www.nidec-copal-electronics.com/e/catalog/switch/sh-7000.pdf"
"Switch:SW_DIP_x01","SW_DIP_x01","","1x DIP Switch, Single Pole Single Throw (SPST) switch, small symbol","dip switch","SW?DIP?x1*","~"
