Keyld,MyPN,Name,Description,Value,Value 2,Symbol,Footprint,Footprint_Filter,Package,Manufacturer,Manufacturer_PN,Series,Category,Subcategory,Connector_Type,Family,Standard,Mounting_Type,Mounting_Style,Orientation,Gender,Shielded,Shield_Material,Shield_Plating,Pins_Total,Pins_Configuration,Rows,Contact_Type,Contact_Arrangement,Pitch_mm,Row_Spacing_mm,Length_mm,Width_mm,Height_mm,Mating_Height_mm,PCB_Mounting_Dimensions,Current_Rating_A,Current_Rating_Total_A,Voltage_Rating_V,Contact_Resistance_mOhm,Insulation_Resistance_MOhm,Dielectric_Withstanding_Voltage_V,Impedance_Ohm,Frequency_Max_Hz,Contact_Material,Contact_Plating,Plating_Thickness_um,Contact_Finish,Housing_Material,Housing_Color,Insulator_Material,Insulator_Color,Locking_Mechanism,Polarization,Mating_Cycles,Insertion_Force_N,Withdrawal_Force_N,Operating_Temp_Min_C,Operating_Temp_Max_C,Storage_Temp_Min_C,Storage_Temp_Max_C,IP_Rating,Moisture_Sensitivity_Level,RoHS_Compliant,REACH_Compliant,UL_Certified,UL_File_Number,CSA_Certified,TUV_Certified,Flammability_Rating,Solder_Type,Solder_Temperature_C,Solder_Process,Cleaning_Process,PCB_Retention,Pick_and_Place,Tape_and_Reel,Cable_Type,Cable_Diameter_Max_mm,Wire_Gauge_AWG,Wire_Strip_Length_mm,LCSC_PN,LCSC_URL,Mouser_PN,Mouser_URL,Digikey_PN,Digikey_URL,Farnell_PN,Farnell_URL,Newark_PN,Newark_URL,RS_PN,RS_URL,StockQty,Min_Stock,Max_Stock,StockPlace,Price,Currency,MOQ,Packaging,Datasheet,Drawing_2D,Drawing_3D,PCB_Layout_Suggestion,Application_Note,Assembly_Instructions,Active,Notes,Tags,CreatedBy,CreatedAt,ModifiedBy,ModifiedAt,Version,Exclude_from_BOM,Exclude_from_Board
1,EL-CON_800001,CON_RJ45_8P8C_SHIELDED_RA,"RJ45 8P8C shielded jack, right angle, through hole, without LEDs, 1.5A, 125V, UL94 V-0, -55°C to +85°C",,,Connector:8P8C_Shielded,Connector_RJ:RJ45_Amphenol_RJHSE5380,*8P8C*SHIELD*,THT,Amphenol,RJHSE5380,RJHSE,Modular Connector,RJ45,RJ45,8P8C,IEEE 802.3,PCB,Through Hole,Right Angle,Female,1,,,8,8P8C,1,Spring,,2.03,,16.51,15.75,15.97,,,1.5,,125.0,20.0,500.0,1500.0,100.0,100 MHz,Phosphor Bronze,Gold,0.76,,Thermoplastic,Black,Polyamide (PA),Black,Friction,Keyed,750,,,-55,85,,,,,1,1,1,,1,0,UL94 V-0,,,Wave,,Board Lock,0,1,,,,,,,,,,,,,,,,,,,,,,,,,https://www.amphenol-cs.com/media/wysiwyg/files/drawing/rjhse5380.pdf,,,,,,1,,"rj45,8p8c,ethernet,shielded,amphenol",script,2026-02-17 06:45:32,,,1.0,0,0
2,EL-CON_800002,CON_RJ45_8P8C_SHIELDED_STACKED_RA,"RJ45 8P8C stacked 2-port shielded jack, right angle, through hole, 1.5A, 125V, UL94 V-0, -40°C to +85°C",,,Connector:8P8C_Shielded,Connector_RJ:RJ45_Amphenol_54602-x08_Horizontal,*8P8C*SHIELD*,THT,Amphenol,54602-x08,54602,Modular Connector,RJ45,RJ45,8P8C,IEEE 802.3,PCB,Through Hole,Right Angle,Female,1,,,8,8P8C,1,Spring,,2.03,,,,,,,1.5,,125.0,20.0,500.0,1500.0,100.0,100 MHz,Phosphor Bronze,Gold,0.76,,Thermoplastic,Black,Polyamide (PA),Black,Friction,Keyed,750,,,-40,85,,,,,1,1,1,,1,0,UL94 V-0,,,Wave,,Board Lock,0,1,,,,,,,,,,,,,,,,,,,,,,,,,https://www.amphenol-cs.com/media/wysiwyg/files/drawing/54602-x08.pdf,,,,,,1,,"rj45,8p8c,ethernet,shielded,stacked,amphenol",script,2026-02-17 06:45:32,,,1.0,0,0
3,EL-CON_800003,CON_RJ45_8P8C_LED_SHIELDED_RA,"RJ45 8P8C shielded jack with LEDs, right angle, through hole, 1.5A, 125V, UL94 V-0, -55°C to +85°C",,,Connector:8P8C_LED_Shielded,Connector_RJ:RJ45_Amphenol_RJHSE5380-08,*8P8C*LED*SHIELD*,THT,Amphenol,RJHSE5380-08,RJHSE,Modular Connector,RJ45,RJ45,8P8C,IEEE 802.3,PCB,Through Hole,Right Angle,Female,1,,,8,8P8C,1,Spring,,2.03,,16.51,15.75,15.97,,,1.5,,125.0,20.0,500.0,1500.0,100.0,100 MHz,Phosphor Bronze,Gold,0.76,,Thermoplastic,Black,Polyamide (PA),Black,Friction,Keyed,750,,,-55,85,,,,,1,1,1,,1,0,UL94 V-0,,,Wave,,Board Lock,0,1,,,,,,,,,,,,,,,,,,,,,,,,,https://www.amphenol-cs.com/media/wysiwyg/files/drawing/rjhse5380-08.pdf,,,,,,1,,"rj45,8p8c,ethernet,led,shielded,amphenol",script,2026-02-17 06:45:32,,,1.0,0,0
4,EL-CON_800004,CON_RJ45_8P8C_SHIELDED_RA_X,"RJ45 8P8C shielded jack, right angle, through hole, without LEDs, 1.5A, 125V, UL94 V-0, -55°C to +85°C",,,Connector:8P8C_Shielded,Connector_RJ:RJ45_Amphenol_RJHSE538X,*8P8C*SHIELD*,THT,Amphenol,RJHSE538X,RJHSE,Modular Connector,RJ45,RJ45,8P8C,IEEE 802.3,PCB,Through Hole,Right Angle,Female,1,,,8,8P8C,1,Spring,,2.03,,16.51,15.75,15.97,,,1.5,,125.0,20.0,500.0,1500.0,100.0,100 MHz,Phosphor Bronze,Gold,0.76,,Thermoplastic,Black,Polyamide (PA),Black,Friction,Keyed,750,,,-55,85,,,,,1,1,1,,1,0,UL94 V-0,,,Wave,,Board Lock,0,1,,,,,,,,,,,,,,,,,,,,,,,,,https://www.amphenol-cs.com/media/wysiwyg/files/drawing/rjhse538x.pdf,,,,,,1,,"rj45,8p8c,ethernet,shielded,amphenol",script,2026-02-17 06:45:32,,,1.0,0,0
5,EL-CON_800005,CON_RJ45_8P8C_SHIELDED_2PORT_RA,"RJ45 8P8C 2-port stacked shielded jack, right angle, through hole, without LEDs, 1.5A, 125V, UL94 V-0, -55°C to +85°C",,,Connector:8P8C_Shielded,Connector_RJ:RJ45_Amphenol_RJHSE538X-02,*8P8C*SHIELD*,THT,Amphenol,RJHSE538X-02,RJHSE,Modular Connector,RJ45,RJ45,8P8C,IEEE 802.3,PCB,Through Hole,Right Angle,Female,1,,,8,8P8C,1,Spring,,2.03,,,,,,,1.5,,125.0,20.0,500.0,1500.0,100.0,100 MHz,Phosphor Bronze,Gold,0.76,,Thermoplastic,Black,Polyamide (PA),Black,Friction,Keyed,750,,,-55,85,,,,,1,1,1,,1,0,UL94 V-0,,,Wave,,Board Lock,0,1,,,,,,,,,,,,,,,,,,,,,,,,,https://www.amphenol-cs.com/media/wysiwyg/files/drawing/rjhse538x-02.pdf,,,,,,1,,"rj45,8p8c,ethernet,shielded,2port,amphenol",script,2026-02-17 06:45:32,,,1.0,0,0
6,EL-CON_800006,CON_RJ45_8P8C_SHIELDED_4PORT_RA,"RJ45 8P8C 4-port stacked shielded jack, right angle, through hole, without LEDs, 1.5A, 125V, UL94 V-0, -55°C to +85°C",,,Connector:8P8C_Shielded,Connector_RJ:RJ45_Amphenol_RJHSE538X-04,*8P8C*SHIELD*,THT,Amphenol,RJHSE538X-04,RJHSE,Modular Connector,RJ45,RJ45,8P8C,IEEE 802.3,PCB,Through Hole,Right Angle,Female,1,,,8,8P8C,1,Spring,,2.03,,,,,,,1.5,,125.0,20.0,500.0,1500.0,100.0,100 MHz,Phosphor Bronze,Gold,0.76,,Thermoplastic,Black,Polyamide (PA),Black,Friction,Keyed,750,,,-55,85,,,,,1,1,1,,1,0,UL94 V-0,,,Wave,,Board Lock,0,1,,,,,,,,,,,,,,,,,,,,,,,,,https://www.amphenol-cs.com/media/wysiwyg/files/drawing/rjhse538x-04.pdf,,,,,,1,,"rj45,8p8c,ethernet,shielded,4port,amphenol",script,2026-02-17 06:45:32,,,1.0,0,0
7,EL-CON_800007,CON_RJ45_8P8C_MAG_RA,"RJ45 8P8C jack with magnetics, right angle, through hole, 10/100 Base-T, AutoMDIX, 1.5A, 125V, 0°C to +70°C",,,Connector:RJ45_Amphenol_RJMG1BD3B8K1ANR,Connector_RJ:RJ45_Amphenol_RJMG1BD3B8K1ANR,*8P8C*,THT,Amphenol,RJMG1BD3B8K1ANR,RJMG,Modular Connector,RJ45,RJ45,8P8C,IEEE 802.3,PCB,Through Hole,Right Angle,Female,1,,,8,8P8C,1,Spring,,2.03,,,,,,,1.5,,125.0,20.0,500.0,1500.0,100.0,100 MHz,Phosphor Bronze,Gold,0.76,,Thermoplastic,Black,Polyamide (PA),Black,Friction,Keyed,750,,,0,70,,,,,1,1,1,,1,0,UL94 V-0,,,Wave,,Board Lock,0,1,,,,,,,,,,,,,,,,,,,,,,,,,https://www.amphenol-cs.com/media/wysiwyg/files/drawing/rjmg1bd3b8k1anr.pdf,,,,,,1,,"rj45,8p8c,ethernet,magnetics,amphenol",script,2026-02-17 06:45:32,,,1.0,0,0
8,EL-CON_800008,CON_RJ45_8P8C_VERT,"RJ45 8P8C jack, vertical, through hole, 1.5A, 125V, 0°C to +70°C",,,Connector:8P8C,Connector_RJ:RJ45_BEL_SS74301-00x_Vertical,*8P8C*,THT,Bel Fuse,SS74301-00x,SS74301,Modular Connector,RJ45,RJ45,8P8C,IEEE 802.3,PCB,Through Hole,Vertical,Female,0,,,8,8P8C,1,Spring,,2.54,,,,,,,1.5,,125.0,20.0,500.0,1500.0,100.0,100 MHz,Phosphor Bronze,Gold,0.76,,Thermoplastic,Black,Polyamide (PA),Black,Friction,Keyed,750,,,0,70,,,,,1,1,1,,1,0,UL94 V-0,,,Wave,,Board Lock,0,1,,,,,,,,,,,,,,,,,,,,,,,,,https://belfuse.com/resources/drawings/ss74301-00x.pdf,,,,,,1,,"rj45,8p8c,ethernet,vertical,bel",script,2026-02-17 06:45:32,,,1.0,0,0
9,EL-CON_800009,CON_RJ45_8P8C_MAG_RA_BEL,"RJ45 8P8C jack with magnetics, right angle, through hole, 10/100 Base-T, AutoMDIX, 1.5A, 125V, 0°C to +70°C",,,Connector:RJ45_Bel_SI-60062-F,Connector_RJ:RJ45_Bel_SI-60062-F,*8P8C*,THT,Bel Fuse,SI-60062-F,SI,Modular Connector,RJ45,RJ45,8P8C,IEEE 802.3,PCB,Through Hole,Right Angle,Female,1,,,8,8P8C,1,Spring,,2.54,,,,,,,1.5,,125.0,20.0,500.0,1500.0,100.0,100 MHz,Phosphor Bronze,Gold,0.76,,Thermoplastic,Black,Polyamide (PA),Black,Friction,Keyed,750,,,0,70,,,,,1,1,1,,1,0,UL94 V-0,,,Wave,,Board Lock,0,1,,,,,,,SI-60062-F,https://www.mouser.com/datasheet/2/336/SI-60062-F-3014296.pdf,,,,,,,,,,,,,,,,,https://belfuse.com/resources/drawings/magneticsolutions/dr-mag-si-60062-f.pdf,,,,,,1,,"rj45,8p8c,ethernet,magnetics,bel",script,2026-02-17 06:45:32,,,1.0,0,0
10,EL-CON_800010,CON_RJ45_8P8C_MAG_VERT_BEL,"RJ45 8P8C jack with magnetics, vertical, through hole, 10/100 Base-T, PoE, 1.5A, 57V, 0°C to +70°C",,,Connector:RJ45_Bel_V895-1001-AW_Vertical,Connector_RJ:RJ45_Bel_V895-1001-AW_Vertical,*8P8C*,THT,Bel Fuse,V895-1001-AW,V895,Modular Connector,RJ45,RJ45,8P8C,IEEE 802.3af,PCB,Through Hole,Vertical,Female,1,,,8,8P8C,1,Spring,,2.54,,,,,,,1.5,,57.0,20.0,500.0,1500.0,100.0,100 MHz,Phosphor Bronze,Gold,0.76,,Thermoplastic,Black,Polyamide (PA),Black,Friction,Keyed,750,,,0,70,,,,,1,1,1,,1,0,UL94 V-0,,,Wave,,Board Lock,0,1,,,,,,,,,,,,,,,,,,,,,,,,,https://www.belfuse.com/resources/drawings/magneticsolutions/dr-mag-v895-1001-aw.pdf,,,,,,1,,"rj45,8p8c,ethernet,magnetics,poe,vertical,bel",script,2026-02-17 06:45:32,,,1.0,0,0
