KeyId,MyPN,Name,Description,Symbol,Value,Value2,Type,Forward_Voltage,Reverse_Voltage,Breakdown_Voltage,Forward_Current,Reverse_Current,Power_Dissipation,Capacitance,Standoff_Voltage,Clamping_Voltage,Tolerance,Reverse_Recovery_Time,Package,Footprint,Footprint_Filter,Dimensions,Height,Termination,Anode_Marking,Cathode_Marking,Min_Temp,Max_Temp,Operating_Temp,Mount,Reflow_Profile,MSL_Rating,Datasheet,RoHS_Compliant,REACH_Compliant,Halogen_Free,Manufacturer,Manufacturer_PN,Series,LCSC_PN,LCSC_URL,Mouser_PN,Mouser_URL,Digikey_PN,Digikey_URL,Farnell_PN,TME_PN,Alternative_PN,Internal_Code,Category,Subcategory,StockQty,Min_Stock,Max_Stock,StockPlace,Stock_Unit,Reel_Size,Price,Currency,Last_Purchase_Date,Last_Purchase_Price,Supplier,Active,Notes,Tags,CreatedBy,CreatedAt,ModifiedBy,ModifiedAt,Version,Exclude_from_BOM,Exclude_from_Board
,EL-DIO-000001,1N4148_D_SWITCH_100V_150MA_DO35,Switching Diode 100V 150mA DO-35,MyLib_Diode:D,1N4148,,Switching,0.62V @ 10mA,100V,,150mA,25nA @ 20V,,4pF @ 0V,,,,,DO-35,MyLib_Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal,DO-35,4.1mm x 2.0mm,2.0mm,Through Hole,Band/Bar,No Band,-55°C,150°C,-55°C to +150°C,THT,,,Available,1,,,Nexperia,,,C100000,,,,,,,,,DIO-00001,Semiconductors,Diodes,500,50,1000,BIN-1,piece,,0.008,USD,2024-01-15,0.008,LCSC,1,,"Switching,THT,General Purpose",System,2026-01-31 22:30:22,,,,0,0
,EL-DIO-000002,1N4148W_D_SWITCH_75V_200MA_SOD323,Switching Diode 75V 200mA SOD-323,MyLib_Diode:D,1N4148W,,Switching,1V @ 10mA,75V,,200mA,25nA @ 20V,,4pF @ 0V,,,,,SOD-323,MyLib_Diode_SMD:D_SOD-323,SOD-323,2.5mm x 1.3mm,1.1mm,Through Hole,Bar/Line,No Bar,-55°C,150°C,-55°C to +150°C,SMD,,Level 3,Available,1,,,Nexperia,,,C100000,,,,,,,,,DIO-00002,Semiconductors,Diodes,300,50,600,BIN-1,piece,3000,0.012,USD,2024-01-15,0.012,LCSC,1,,"Switching,SMD,SOD-323",System,2026-01-31 22:30:22,,,,0,0
,EL-DIO-000003,1N4148_D_SWITCH_100V_300MA_SOD123,Switching Diode 100V 300mA SOD-123,MyLib_Diode:D,1N4148,,Switching,0.62V @ 10mA,100V,,300mA,25nA @ 20V,,4pF @ 0V,,,,,SOD-123,MyLib_Diode_SMD:D_SOD-123,SOD-123,3.68mm x 1.52mm,1.22mm,Through Hole,Bar/Line,No Bar,-55°C,150°C,-55°C to +150°C,SMD,,Level 3,Available,1,,,ON Semiconductor,,,C100000,,,,,,,,,DIO-00003,Semiconductors,Diodes,400,50,800,BIN-1,piece,3000,0.010,USD,2024-01-15,0.010,LCSC,1,,"Switching,SMD,SOD-123",System,2026-01-31 22:30:22,,,,0,0
,EL-DIO-000004,1N4148_D_SWITCH_100V_150MA_SOT23,Switching Diode 100V 150mA SOT-23,MyLib_Diode:D,1N4148,,Switching,0.62V @ 10mA,100V,,150mA,25nA @ 20V,,4pF @ 0V,,,,,SOT-23,MyLib_Diode_SMD:D_SOT-23,SOT-23,2.9mm x 1.6mm,1.1mm,Through Hole,Bar/Line,No Bar,-55°C,150°C,-55°C to +150°C,SMD,,Level 3,Available,1,,,Diodes Inc.,,,C100000,,,,,,,,,DIO-00004,Semiconductors,Diodes,350,50,700,BIN-1,piece,3000,0.015,USD,2024-01-15,0.015,LCSC,1,,"Switching,SMD,SOT-23",System,2026-01-31 22:30:22,,,,0,0
,EL-DIO-000005,1N4448_D_SWITCH_100V_250MA_DO35,Fast Switching Diode 100V 250mA,MyLib_Diode:D,1N4448,,Switching,0.715V @ 10mA,100V,,250mA,5nA @ 20V,,2pF @ 0V,,,,,DO-35,MyLib_Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal,DO-35,4.1mm x 2.0mm,2.0mm,Through Hole,Band/Bar,No Band,-55°C,150°C,-55°C to +150°C,THT,,,Available,1,,,Vishay,,,C100000,,,,,,,,,DIO-00005,Semiconductors,Diodes,200,50,400,BIN-1,piece,,0.015,USD,2024-01-15,0.015,LCSC,1,,"Switching,THT,Fast",System,2026-01-31 22:30:22,,,,0,0
,EL-DIO-000006,1N4149_D_SWITCH_75V_100MA_DO35,Switching Diode 75V 100mA,MyLib_Diode:D,1N4149,,Switching,0.62V @ 10mA,75V,,100mA,25nA @ 20V,,4pF @ 0V,,,,,DO-35,MyLib_Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal,DO-35,4.1mm x 2.0mm,2.0mm,Through Hole,Band/Bar,No Band,-55°C,150°C,-55°C to +150°C,THT,,,Available,1,,,Nexperia,,,C100000,,,,,,,,,DIO-00006,Semiconductors,Diodes,150,50,300,BIN-1,piece,,0.008,USD,2024-01-15,0.008,LCSC,1,,"Switching,THT",System,2026-01-31 22:30:22,,,,0,0
,EL-DIO-000007,1N4150_D_SWITCH_50V_200MA_DO35,Switching Diode 50V 200mA,MyLib_Diode:D,1N4150,,Switching,0.62V @ 10mA,50V,,200mA,25nA @ 20V,,4pF @ 0V,,,,,DO-35,MyLib_Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal,DO-35,4.1mm x 2.0mm,2.0mm,Through Hole,Band/Bar,No Band,-55°C,150°C,-55°C to +150°C,THT,,,Available,1,,,Nexperia,,,C100000,,,,,,,,,DIO-00007,Semiconductors,Diodes,150,50,300,BIN-1,piece,,0.008,USD,2024-01-15,0.008,LCSC,1,,"Switching,THT",System,2026-01-31 22:30:22,,,,0,0
,EL-DIO-000008,1N4151_D_SWITCH_35V_200MA_DO35,Switching Diode 35V 200mA,MyLib_Diode:D,1N4151,,Switching,0.62V @ 10mA,35V,,200mA,25nA @ 20V,,4pF @ 0V,,,,,DO-35,MyLib_Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal,DO-35,4.1mm x 2.0mm,2.0mm,Through Hole,Band/Bar,No Band,-55°C,150°C,-55°C to +150°C,THT,,,Available,1,,,Nexperia,,,C100000,,,,,,,,,DIO-00008,Semiconductors,Diodes,150,50,300,BIN-1,piece,,0.008,USD,2024-01-15,0.008,LCSC,1,,"Switching,THT",System,2026-01-31 22:30:22,,,,0,0
,EL-DIO-000009,LL4148_D_SWITCH_100V_150MA_MINI,Switching Diode MiniMELF,MyLib_Diode:D,LL4148,,Switching,0.62V @ 10mA,100V,,150mA,25nA @ 20V,,4pF @ 0V,,,,,MiniMELF,MyLib_Diode_SMD:D_MiniMELF,MiniMELF,Standard,Standard,Through Hole,Band/Bar,No Band,-55°C,150°C,-55°C to +150°C,THT,,,Available,1,,,Vishay,,,C100000,,,,,,,,,DIO-00009,Semiconductors,Diodes,250,50,500,BIN-1,piece,,0.012,USD,2024-01-15,0.012,LCSC,1,,"Switching,SMD,MiniMELF",System,2026-01-31 22:30:22,,,,0,0
,EL-DIO-000010,1N4001_D_RECT_50V_1A_DO41,Rectifier Diode 50V 1A,MyLib_Diode:D,1N4001,,Rectifier,1.1V @ 1A,50V,,1A,,3W,,,,,,DO-41,MyLib_Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal,DO-41,5.2mm x 2.7mm,2.7mm,Through Hole,Band/Bar,No Band,-55°C,150°C,-55°C to +150°C,THT,,,Available,1,,,ON Semiconductor,,,C100000,,,,,,,,,DIO-00010,Semiconductors,Diodes,300,50,600,BIN-1,piece,,0.015,USD,2024-01-15,0.015,LCSC,1,,"Rectifier,THT,DO-41,1A",System,2026-01-31 22:30:22,,,,0,0
,EL-DIO-000011,1N4002_D_RECT_100V_1A_DO41,Rectifier Diode 100V 1A,MyLib_Diode:D,1N4002,,Rectifier,1.1V @ 1A,100V,,1A,,3W,,,,,,DO-41,MyLib_Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal,DO-41,5.2mm x 2.7mm,2.7mm,Through Hole,Band/Bar,No Band,-55°C,150°C,-55°C to +150°C,THT,,,Available,1,,,ON Semiconductor,,,C100000,,,,,,,,,DIO-00011,Semiconductors,Diodes,300,50,600,BIN-1,piece,,0.016,USD,2024-01-15,0.016,LCSC,1,,"Rectifier,THT,DO-41,1A",System,2026-01-31 22:30:22,,,,0,0
,EL-DIO-000012,1N4003_D_RECT_200V_1A_DO41,Rectifier Diode 200V 1A,MyLib_Diode:D,1N4003,,Rectifier,1.1V @ 1A,200V,,1A,,3W,,,,,,DO-41,MyLib_Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal,DO-41,5.2mm x 2.7mm,2.7mm,Through Hole,Band/Bar,No Band,-55°C,150°C,-55°C to +150°C,THT,,,Available,1,,,ON Semiconductor,,,C100000,,,,,,,,,DIO-00012,Semiconductors,Diodes,250,50,500,BIN-1,piece,,0.017,USD,2024-01-15,0.017,LCSC,1,,"Rectifier,THT,DO-41,1A",System,2026-01-31 22:30:22,,,,0,0
,EL-DIO-000013,1N4004_D_RECT_400V_1A_DO41,Rectifier Diode 400V 1A,MyLib_Diode:D,1N4004,,Rectifier,1.1V @ 1A,400V,,1A,,3W,,,,,,DO-41,MyLib_Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal,DO-41,5.2mm x 2.7mm,2.7mm,Through Hole,Band/Bar,No Band,-55°C,150°C,-55°C to +150°C,THT,,,Available,1,,,ON Semiconductor,,,C100000,,,,,,,,,DIO-00013,Semiconductors,Diodes,250,50,500,BIN-1,piece,,0.018,USD,2024-01-15,0.018,LCSC,1,,"Rectifier,THT,DO-41,1A",System,2026-01-31 22:30:22,,,,0,0
,EL-DIO-000014,1N4005_D_RECT_600V_1A_DO41,Rectifier Diode 600V 1A,MyLib_Diode:D,1N4005,,Rectifier,1.1V @ 1A,600V,,1A,,3W,,,,,,DO-41,MyLib_Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal,DO-41,5.2mm x 2.7mm,2.7mm,Through Hole,Band/Bar,No Band,-55°C,150°C,-55°C to +150°C,THT,,,Available,1,,,ON Semiconductor,,,C100000,,,,,,,,,DIO-00014,Semiconductors,Diodes,200,50,400,BIN-1,piece,,0.019,USD,2024-01-15,0.019,LCSC,1,,"Rectifier,THT,DO-41,1A",System,2026-01-31 22:30:22,,,,0,0
