Keyld,MyPN,Name,Description,Value,Value2,Symbol,Footprint,Footprint_Filter,Coil_Voltage,Coil_Resistance,Coil_Power,Contact_Form,Contact_Current,Contact_Voltage,Contact_Resistance,Switching_Power,Isolation_Voltage,Operate_Time,Release_Time,Mechanical_Life,Electrical_Life,Type,Mount,,Dimensions,Height,Termination,MinTemp,MaxTemp,Operating_Temp,Sealing,Flux_Proof,Datasheet,RoHS_Compliant,REACH_Compliant,Manufacturer,Manufacturer_PN,Series,LCSC_PN,LCSC_URL,Mouser_PN,Mouser_URL,Digikey_PN,Digikey_URL,Farnell_PN,TME_PN,Alternative_PN,Internal_Code,Category,Subcategory,StockQty,Min_Stock,Max_Stock,StockPlace,Stock_Unit,Reel_Size,Price,Currency,Last_Purchase_Date,Last_Purchase_Price,Supplier,Active,Notes,Tags,CreatedBy,CreatedAt,ModifiedBy,ModifiedAt,Version,Exclude_from_BOM,Exclude_from_Board
1,EL-REL-000001,PowerRelay_SPST_12V_Latching_16A_Panasonic_ADW11,"Panasonic ADW11 - Small Polarized Latching Power Relay, SPST-NO (1 Form A), 8A/16A switching capacity, Single coil latching, 12V DC coil",ADW11,12V Latching SPST,Relay:ADW11,Relay_THT:Relay_SPST_Panasonic_ADW11,Relay*SPST*Panasonic*ADW11*,12V DC,,0.4W,SPST-NO (1 Form A),16A,277VAC,,,,10ms,10ms,10000000,100000,Electromechanical Latching,Through Hole,DIP,20.0 x 10.0 x 12.5mm,,PC Pin,-40°C,85°C,-40°C to 85°C,,,https://api.pim.na.industrial.panasonic.com/file_stream/main/fileversion/270,1,1,Panasonic,ADW11,ADW,,,,,,,,,,,Relays,Power Relays,,,,,,,,,,,,1,,SPST 1P1T latching bistable power relay,,2024-01-15,,2024-01-15,1,,
2,EL-REL-000002,SignalRelay_DPDT_Microminiature_Polarized_AmericanZettler_AZ850,"American Zettler AZ850 - Microminiature Polarised Dual Pole Relay, DPDT, high sensitivity, ideal for telecommunications and portable equipment",AZ850-x,Microminiature DPDT,Relay:AZ850-x,Relay_THT:Relay_DPDT_FRT5,Relay*DPDT*FRT5*,5V DC,125,0.2W,DPDT (2 Form C),2A,150VAC,50mΩ,,,4ms,2ms,100000000,100000,Electromechanical Monostable,Through Hole,DIP,15.0 x 7.5 x 9.5mm,9.5mm,PC Pin,-40°C,85°C,-40°C to 85°C,,,http://www.azettler.com/pdfs/az850.pdf,1,1,American Zettler,AZ850-x,AZ850,,,,,,,,,,,Relays,Signal Relays,,,,,,,,,,,,1,,Miniature Polarised Relay Dual Pole,,2024-01-15,,2024-01-15,1,,
3,EL-REL-000003,SignalRelay_DPDT_Bistable_Microminiature_AmericanZettler_AZ850P1,"American Zettler AZ850P1 - Microminiature Polarised Dual Pole Bistable Relay, DPDT latching, single coil, ideal for battery-powered applications",AZ850P1-x,Bistable DPDT,Relay:AZ850P1-x,Relay_THT:Relay_DPDT_FRT5,Relay*DPDT*FRT5*,5V DC,125,0.2W,DPDT (2 Form C),2A,150VAC,50mΩ,,,4ms,2ms,100000000,100000,Electromechanical Latching,Through Hole,DIP,15.0 x 7.5 x 9.5mm,9.5mm,PC Pin,-40°C,85°C,-40°C to 85°C,,,http://www.azettler.com/pdfs/az850.pdf,1,1,American Zettler,AZ850P1-x,AZ850,,,,,,,,,,,Relays,Signal Relays,,,,,,,,,,,,1,,Miniature Polarised Relay Dual Pole Bistable,,2024-01-15,,2024-01-15,1,,
4,EL-REL-000004,SignalRelay_DPDT_Bistable_Microminiature_AmericanZettler_AZ850P2,"American Zettler AZ850P2 - Microminiature Polarised Dual Pole Bistable Relay, DPDT latching, single coil, alternative pinout",AZ850P2-x,Bistable DPDT,Relay:AZ850P2-x,Relay_THT:Relay_DPDT_FRT5,Relay*DPDT*FRT5*,5V DC,125,0.2W,DPDT (2 Form C),2A,150VAC,50mΩ,,,4ms,2ms,100000000,100000,Electromechanical Latching,Through Hole,DIP,15.0 x 7.5 x 9.5mm,9.5mm,PC Pin,-40°C,85°C,-40°C to 85°C,,,http://www.azettler.com/pdfs/az850.pdf,1,1,American Zettler,AZ850P2-x,AZ850,,,,,,,,,,,Relays,Signal Relays,,,,,,,,,,,,1,,Miniature Polarised Relay Dual Pole Bistable,,2024-01-15,,2024-01-15,1,,
5,EL-REL-000005,PowerRelay_SPST_12V_35A_AmericanZettler_AZSR131,"American Zettler AZSR131 - High power SPST relay, 12V DC coil, 35A switching capacity, ideal for solar inverters and industrial applications",AZSR131-1AE-12D,12V 35A SPST,Relay:AZSR131-1AE-12D,Relay_THT:Relay_SPST_Zettler-AZSR131,Relay*AZSR131*,12V DC,270,0.53W,SPST-NO (1 Form A),35A,277VAC,10mΩ,,,15ms,5ms,10000000,50000,Electromechanical Monostable,Through Hole,DIP,29.0 x 13.0 x 25.5mm,25.5mm,PC Pin,-40°C,85°C,-40°C to 85°C,,,https://www.azettler.com/pdfs/azsr131.pdf,1,1,American Zettler,AZSR131-1AE-12D,AZSR131,,,,,,,,,,,Relays,Power Relays,,,,,,,,,,,,1,,Single Pole Reed Relay SPST power,,2024-01-15,,2024-01-15,1,,
6,EL-REL-000006,ReedRelay_DPST_LowThermalEMF_COTO_3602,"COTO 3602 - Low thermal EMF DPST-NO reed relay, 150V 0.25A, ideal for precision measurement and data acquisition systems",COTO_3602_Split,Low EMF DPST,Relay:COTO_3602_Split,Relay_THT:Relay_DPST_COTO_3602,*Relay*COTO*3602*,5V DC,500,0.05W,DPST-NO (2 Form A),0.25A,150V,0.15Ω,,,0.5ms,0.1ms,1000000000,100000000,Reed Relay,Through Hole,DIP,30.5 x 16.8 x 12.1mm,12.1mm,PC Pin,-20°C,70°C,-20°C to 70°C,,,https://cotorelay.com/wp-content/uploads/2014/09/3600_series_reed_relay_datasheet.pdf,1,1,COTO Technology,3602,3600,,,,,,,,,,,Relays,Reed Relays,,,,,,,,,,,,1,,reed relay low thermal emf,,2024-01-15,,2024-01-15,1,,
7,EL-REL-000007,ReedRelay_3PST_LowThermalEMF_COTO_3650,"COTO 3650 - Low thermal EMF 3PST-NO reed relay with independent shield, 150V 0.25A, ideal for precision measurement systems",COTO_3650_Split,Low EMF 3PST,Relay:COTO_3650_Split,Relay_THT:Relay_3PST_COTO_3650,*Relay*COTO*3650*,5V DC,200,0.125W,3PST-NO (3 Form A),0.25A,150V,0.15Ω,,,0.5ms,0.1ms,1000000000,100000000,Reed Relay,Through Hole,DIP,30.5 x 16.8 x 12.1mm,12.1mm,PC Pin,-20°C,70°C,-20°C to 70°C,,,https://cotorelay.com/wp-content/uploads/2014/09/3600_series_reed_relay_datasheet.pdf,1,1,COTO Technology,3650,3600,,,,,,,,,,,Relays,Reed Relays,,,,,,,,,,,,1,,reed relay low thermal emf,,2024-01-15,,2024-01-15,1,,
8,EL-REL-000008,ReedRelay_3PST_LowThermalEMF_COTO_3660,"COTO 3660 - Low thermal EMF 3PST-NO reed relay with shared shield/contact, 150V 0.25A, ideal for precision measurement systems",COTO_3660_Split,Low EMF 3PST,Relay:COTO_3660_Split,Relay_THT:Relay_3PST_COTO_3660,*Relay*COTO*3660*,5V DC,200,0.125W,3PST-NO (3 Form A),0.25A,150V,0.15Ω,,,0.5ms,0.1ms,1000000000,100000000,Reed Relay,Through Hole,DIP,30.5 x 16.8 x 12.1mm,12.1mm,PC Pin,-20°C,70°C,-20°C to 70°C,,,https://cotorelay.com/wp-content/uploads/2014/09/3600_series_reed_relay_datasheet.pdf,1,1,COTO Technology,3660,3600,,,,,,,,,,,Relays,Reed Relays,,,,,,,,,,,,1,,reed relay low thermal emf,,2024-01-15,,2024-01-15,1,,
9,EL-REL-000009,ReedRelay_SPST_StandexMeder_DIP_LowProfile,"Standex-Meder DIP reed relay, SPST-NO, low profile package, ideal for automatic test equipment and instrumentation",DIPxx-1Axx-11x,SPST Reed,Relay:DIPxx-1Axx-11x,Relay_THT:Relay_StandexMeder_DIP_LowProfile,Relay*StandexMeder*DIP*LowProfile*,5V DC,500,0.05W,SPST-NO (1 Form A),0.5A,200V,0.15Ω,,,0.5ms,0.1ms,500000000,50000000,Reed Relay,Through Hole,DIP,20.0 x 7.6 x 7.5mm,7.5mm,PC Pin,-40°C,85°C,-40°C to 85°C,,,https://standexelectronics.com/wp-content/uploads/datasheet_reed_relay_DIP.pdf,1,1,Standex-Meder,DIPxx-1Axx-11x,DIP,,,,,,,,,,,Relays,Reed Relays,,,,,,,,,,,,1,,Single Pole Reed Relay SPST,,2024-01-15,,2024-01-15,1,,
10,EL-REL-000010,ReedRelay_SPST_StandexMeder_DIP_LowProfile_5V,"Standex-Meder DIP reed relay, SPST-NO, 5V coil, low profile, for ATE and instrumentation",DIPxx-1Axx-12x,5V SPST Reed,Relay:DIPxx-1Axx-12x,Relay_THT:Relay_StandexMeder_DIP_LowProfile,Relay*StandexMeder*DIP*LowProfile*,5V DC,200,0.125W,SPST-NO (1 Form A),0.5A,200V,0.15Ω,,,0.5ms,0.1ms,500000000,50000000,Reed Relay,Through Hole,DIP,20.0 x 7.6 x 7.5mm,7.5mm,PC Pin,-40°C,85°C,-40°C to 85°C,,,https://standexelectronics.com/wp-content/uploads/datasheet_reed_relay_DIP.pdf,1,1,Standex-Meder,DIPxx-1Axx-12x,DIP,,,,,,,,,,,Relays,Reed Relays,,,,,,,,,,,,1,,Single Pole Reed Relay SPST,,2024-01-15,,2024-01-15,1,,
11,EL-REL-000011,ReedRelay_SPST_WithDiode_StandexMeder_DIP,"Standex-Meder DIP reed relay, SPST-NO, with integrated protection diode, 5V coil, low profile",DIPxx-1Axx-12xD,5V SPST Reed w/Diode,Relay:DIPxx-1Axx-12xD,Relay_THT:Relay_StandexMeder_DIP_LowProfile,Relay*StandexMeder*DIP*LowProfile*,5V DC,200,0.125W,SPST-NO (1 Form A),0.5A,200V,0.15Ω,,,0.5ms,0.1ms,500000000,50000000,Reed Relay,Through Hole,DIP,20.0 x 7.6 x 7.5mm,7.5mm,PC Pin,-40°C,85°C,-40°C to 85°C,,,https://standexelectronics.com/wp-content/uploads/datasheet_reed_relay_DIP.pdf,1,1,Standex-Meder,DIPxx-1Axx-12xD,DIP,,,,,,,,,,,Relays,Reed Relays,,,,,,,,,,,,1,,Single Pole Reed Relay SPST,,2024-01-15,,2024-01-15,1,,
12,EL-REL-000012,ReedRelay_SPST_12V_StandexMeder_DIP,"Standex-Meder DIP reed relay, SPST-NO, 12V coil, low profile, for ATE and instrumentation",DIPxx-1Axx-13x,12V SPST Reed,Relay:DIPxx-1Axx-13x,Relay_THT:Relay_StandexMeder_DIP_LowProfile,Relay*StandexMeder*DIP*LowProfile*,12V DC,1000,0.144W,SPST-NO (1 Form A),0.5A,200V,0.15Ω,,,0.5ms,0.1ms,500000000,50000000,Reed Relay,Through Hole,DIP,20.0 x 7.6 x 7.5mm,7.5mm,PC Pin,-40°C,85°C,-40°C to 85°C,,,https://standexelectronics.com/wp-content/uploads/datasheet_reed_relay_DIP.pdf,1,1,Standex-Meder,DIPxx-1Axx-13x,DIP,,,,,,,,,,,Relays,Reed Relays,,,,,,,,,,,,1,,Single Pole Reed Relay SPST,,2024-01-15,,2024-01-15,1,,
13,EL-REL-000013,ReedRelay_SPDT_StandexMeder_DIP_LowProfile,"Standex-Meder DIP reed relay, SPDT (changeover), low profile package, ideal for switching applications",DIPxx-1Cxx-51x,SPDT Reed,Relay:DIPxx-1Cxx-51x,Relay_THT:Relay_StandexMeder_DIP_LowProfile,Relay*StandexMeder*DIP*LowProfile*,5V DC,200,0.125W,SPDT (1 Form C),0.25A,100V,0.2Ω,,,0.5ms,0.1ms,100000000,10000000,Reed Relay,Through Hole,DIP,20.0 x 7.6 x 7.5mm,7.5mm,PC Pin,-40°C,85°C,-40°C to 85°C,,,https://standexelectronics.com/wp-content/uploads/datasheet_reed_relay_DIP.pdf,1,1,Standex-Meder,DIPxx-1Cxx-51x,DIP,,,,,,,,,,,Relays,Reed Relays,,,,,,,,,,,,1,,Single Pole Reed Relay SPDT,,2024-01-15,,2024-01-15,1,,
