KeyId,MyPN,Name,Description,Value,Value2,Type,Material,VCEO,VCBO,VEBO,IC_Continuous,IC_Peak,IB_Continuous,Power_Total,HFE_Min,HFE_Max,HFE_Test_Condition,VCE_Sat_Max,VBE_Sat_Max,FT,CC,Polarity,Complement_PN,Package,Dimensions,Height,Mount,MinTemp,MaxTemp,Operating_Temp,MSL_Rating,Symbol,Footprint,Footprint_Filter,Datasheet,RoHS_Compliant,REACH_Compliant,Manufacturer,Manufacturer_PN,Series,LCSC_PN,LCSC_URL,Mouser_PN,Mouser_URL,Digikey_PN,Digikey_URL,Farnell_PN,TME_PN,Alternative_PN,Internal_Code,Category,Subcategory,StockQty,Min_Stock,Max_Stock,StockPlace,Stock_Unit,Reel_Size,Price,Currency,Last_Purchase_Date,Last_Purchase_Price,Supplier,Active,Notes,Tags,CreatedBy,CreatedAt,ModifiedBy,ModifiedAt,Version,Exclude_from_BOM,Exclude_from_Board
,EL-TST-000001,2N2646,"Unijunction Transistor, TO-18",UJT N-Type,,UJT,Silicon,,,,,,,,,,,,,,,,,TO-18,,,Through Hole,,,,,,MyLib_Package_TO_SOT_THT:TO-18-3,,,,,,,,,,,,,,,,,,Transistor,BJT_UJT,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000002,2N2647,"Unijunction Transistor, TO-18",UJT N-Type,,UJT,Silicon,,,,,,,,,,,,,,,,,TO-18,,,Through Hole,,,,,,MyLib_Package_TO_SOT_THT:TO-18-3,,,,,,,,,,,,,,,,,,Transistor,BJT_UJT,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000003,320S14-U,"4 Matched PNP Transistors, hfe=75, SOIC-14",PNP Array 40V 30mA,,PNP,Silicon,-40V,,,-30mA,,,,75,75,,,,,,,,SOIC-14,,,SMD,,,,,MyLib_Transistor:Q_Dual_PNP_PNP,MyLib_Package_SO:SOIC-14_3.9x8.7mm_P1.27mm,,,,,,,,,,,,,,,,,,Transistor,BJT_Array,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000004,MAT02,"20mA Ic, 40V Vce, Precision Dual Monolithic Low Noise, Low Offset Transistor, TO-78",Dual NPN 40V 20mA,,NPN,Silicon,40V,,,20mA,,,,,,,,,,,,,TO-78,,,Through Hole,,,,,MyLib_Transistor:Q_Dual_NPN_NPN,MyLib_Package_TO_SOT_THT:TO-78-10,,,,,,,,,,,,,,,,,,Transistor,BJT_Dual,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000005,SSM2210,"Audio Dual Matched NPN transistor, DIP-8/SOIC-8",Dual NPN 40V 20mA,,NPN,Silicon,40V,,,20mA,,,,,,,,,,,,,SOIC-8,,,SMD,,,,,MyLib_Transistor:Q_Dual_NPN_NPN,MyLib_Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,,,,,,,,,,,,,,,,,,Transistor,BJT_Dual,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000006,SSM2220,"Audio Dual Matched PNP transistor, DIP-8/SOIC-8",Dual PNP 40V 20mA,,PNP,Silicon,-40V,,,-20mA,,,,,,,,,,,,,SOIC-8,,,SMD,,,,,MyLib_Transistor:Q_Dual_PNP_PNP,MyLib_Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,,,,,,,,,,,,,,,,,,Transistor,BJT_Dual,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000007,BC846BS,"100mA IC, 65V Vce, Dual NPN/NPN Transistors, SOT-363",Dual NPN 65V 0.1A,,NPN,Silicon,65V,,,0.1A,,,0.2W,,,,,,100MHz,,,,SOT-363,,,SMD,,,,,MyLib_Transistor:Q_Dual_NPN_NPN,MyLib_Package_TO_SOT_SMD:SOT-363_SC-70-6,,,,,,,,,,,,,,,,,,Transistor,BJT_Dual,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000008,BC847BS,"100mA IC, 45V Vce, Dual NPN/NPN Transistors, SOT-363",Dual NPN 45V 0.1A,,NPN,Silicon,45V,,,0.1A,,,0.2W,,,,,,100MHz,,,,SOT-363,,,SMD,,,,,MyLib_Transistor:Q_Dual_NPN_NPN,MyLib_Package_TO_SOT_SMD:SOT-363_SC-70-6,,,,,,,,,,,,,,,,,,Transistor,BJT_Dual,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000009,BC856BS,"100mA IC, 65V Vce, Dual PNP/PNP Transistors, SOT-363",Dual PNP 65V 0.1A,,PNP,Silicon,-65V,,,-0.1A,,,0.2W,,,,,,100MHz,,,,SOT-363,,,SMD,,,,,MyLib_Transistor:Q_Dual_PNP_PNP,MyLib_Package_TO_SOT_SMD:SOT-363_SC-70-6,,,,,,,,,,,,,,,,,,Transistor,BJT_Dual,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000010,BC857BS,"100mA IC, 45V Vce, Dual PNP/PNP Transistors, SOT-363",Dual PNP 45V 0.1A,,PNP,Silicon,-45V,,,-0.1A,,,0.2W,,,,,,100MHz,,,,SOT-363,,,SMD,,,,,MyLib_Transistor:Q_Dual_PNP_PNP,MyLib_Package_TO_SOT_SMD:SOT-363_SC-70-6,,,,,,,,,,,,,,,,,,Transistor,BJT_Dual,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000011,BC846BPN,"100mA IC, 65V Vce, Dual NPN/PNP Transistors, SOT-363",Dual NPN/PNP 65V 0.1A,,NPN/PNP,Silicon,65V,,,0.1A,,,0.2W,,,,,,100MHz,,,,SOT-363,,,SMD,,,,,MyLib_Transistor:Q_Dual_NPN_PNP,MyLib_Package_TO_SOT_SMD:SOT-363_SC-70-6,,,,,,,,,,,,,,,,,,Transistor,BJT_Complementary,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000012,BC847BPN,"100mA IC, 45V Vce, Dual NPN/PNP Transistors, SOT-363",Dual NPN/PNP 45V 0.1A,,NPN/PNP,Silicon,45V,,,0.1A,,,0.2W,,,,,,100MHz,,,,SOT-363,,,SMD,,,,,MyLib_Transistor:Q_Dual_NPN_PNP,MyLib_Package_TO_SOT_SMD:SOT-363_SC-70-6,,,,,,,,,,,,,,,,,,Transistor,BJT_Complementary,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000013,BCV61,"100mA IC, 30V Vce, Double NPN Transistors, Current mirror configuration, SOT-143",Dual NPN Current Mirror 30V 0.1A,,NPN,Silicon,30V,,,0.1A,,,0.2W,,,,,,,,,,SOT-143,,,SMD,,,,,MyLib_Transistor:Q_Dual_NPN_CurrentMirror,MyLib_Package_TO_SOT_SMD:SOT-143,,,,,,,,,,,,,,,,,,Transistor,BJT_Array,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000014,BCV62,"100mA IC, 30V Vce, Double PNP Transistors, Current mirror configuration, SOT-143",Dual PNP Current Mirror 30V 0.1A,,PNP,Silicon,-30V,,,-0.1A,,,0.2W,,,,,,,,,,SOT-143,,,SMD,,,,,MyLib_Transistor:Q_Dual_PNP_CurrentMirror,MyLib_Package_TO_SOT_SMD:SOT-143,,,,,,,,,,,,,,,,,,Transistor,BJT_Array,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000015,DMMT5401,"Dual PNP transistor, 6 pin package",Dual PNP 150V 0.2A,,PNP,Silicon,-150V,,,-0.2A,,,0.225W,,,,,,100MHz,,,,SOT-363,,,SMD,,,,,MyLib_Transistor:Q_Dual_PNP_PNP,MyLib_Package_TO_SOT_SMD:SOT-363_SC-70-6,,,,,,,,,,,,,,,,,,Transistor,BJT_Dual,,,,,pcs,,,,,,,1,,,,,,,,0,0
