KeyId,MyPN,Name,Description,Value,Value2,Device_Type,Subtype,Technology,VCE,VGE,IC_Continuous,IC_Pulse,VCE_Sat,Power_Total,HFE,Switching_Speed,Package,Dimensions,Height,Mount,MinTemp,MaxTemp,Operating_Temp,MSL_Rating,Symbol,Footprint,Footprint_Filter,Datasheet,RoHS_Compliant,REACH_Compliant,Manufacturer,Manufacturer_PN,Series,LCSC_PN,LCSC_URL,Mouser_PN,Mouser_URL,Digikey_PN,Digikey_URL,Farnell_PN,TME_PN,Alternative_PN,Internal_Code,Category,Subcategory,StockQty,Min_Stock,Max_Stock,StockPlace,Stock_Unit,Reel_Size,Price,Currency,Last_Purchase_Date,Last_Purchase_Price,Supplier,Active,Notes,Tags,CreatedBy,CreatedAt,ModifiedBy,ModifiedAt,Version,Exclude_from_BOM,Exclude_from_Board
,EL-TST-000011,IRG4PF50W,"28A, 900V, N-Channel IGBT with ultrafast soft recovery diode",IGBT 900V 28A 1.9V,TO-247,IGBT,N-Channel,Planar,900V,±20V,28A,56A,1.9V,200W,,40kHz,TO-247-3,15.87x20.82mm,20.82mm,Through Hole,-55°C,150°C,-55 to 150°C,1,MyLib_Transistor:Q_NIGBT_GCE,MyLib_PKG_TO_SOT_THT:TO-247-3_Vertical,,https://www.infineon.com/datasheet/irg4pf50w.pdf,1,1,International Rectifier,IRG4PF50W,Gen4,,,942-IRG4PF50W,,IRG4PF50W-ND,,,,,,Transistor,Other,0,0,0,,pcs,,,,,,,1,,"IGBT,Power,900V,28A",,,,,1.0,0,0
,EL-TST-000012,STGP7NC60HD,"25A, 600V, N-Channel PowerMESH IGBT with diode",IGBT 600V 25A 1.6V,TO-220,IGBT,N-Channel,PowerMESH,600V,±20V,25A,50A,1.6V,115W,,30kHz,TO-220-3,10.4x14.35mm,14.35mm,Through Hole,-55°C,150°C,-55 to 150°C,1,MyLib_Transistor:Q_NIGBT_GCE,MyLib_PKG_TO_SOT_THT:TO-220-3_Vertical,,https://www.st.com/resource/en/datasheet/stgp7nc60hd.pdf,1,1,STMicroelectronics,STGP7NC60HD,PowerMESH,,,511-STGP7NC60HD,,497-6625-ND,,,,,,Transistor,Other,0,0,0,,pcs,,,,,,,1,,"IGBT,Power,600V,25A",,,,,1.0,0,0
,EL-TST-000013,ULN2003A,"High Voltage, High Current Darlington Transistor Array, 7-ch, 50V 500mA, TTL/CMOS compatible",Darlington Array 50V 500mA,SOIC-16,Darlington,Array,Bipolar,50V,,500mA,600mA,1.3V,1W,1000,,SOIC-16,3.9x9.9mm,1.75mm,SMD,-20°C,70°C,-20 to 70°C,1,MyLib_Transistor:Q_Dual_NPN_NPN_E1B1C2E2B2C1,,SOIC*3.9x9.9mm*P1.27mm*,https://www.ti.com/lit/ds/symlink/uln2003a.pdf,1,1,Texas Instruments,ULN2003A,ULx200xA,C869,,595-ULN2003A,,296-1331-5-ND,,1469775,,ULN2003AN,,Transistor,Other,0,0,0,,pcs,2500,0.45,USD,2025-01-15,0.42,Digikey,1,"7-channel, 50V, 500mA per channel","Darlington,Array,Driver,SOIC",,,,,1.0,0,0
,EL-TST-000014,ULN2803A,"8-Channel Darlington Transistor Array, 50V 500mA, TTL/CMOS compatible",Darlington Array 50V 500mA,SOIC-18,Darlington,Array,Bipolar,50V,,500mA,600mA,1.3V,1.5W,1000,,SOIC-18,7.5x11.6mm,2.35mm,SMD,-20°C,70°C,-20 to 70°C,1,MyLib_Transistor:Q_Dual_NPN_NPN_E1B1C2E2B2C1,,SOIC*7.5x11.6mm*P1.27mm*,https://www.ti.com/lit/ds/symlink/uln2803a.pdf,1,1,Texas Instruments,ULN2803A,ULx280xA,7150,,595-ULN2803A,,296-4311-5-ND,,1008522,,ULN2803AN,,Transistor,Other,0,0,0,,pcs,2000,0.89,USD,2025-01-20,0.85,Mouser,1,"8-channel, 50V, 500mA per channel","Darlington,Array,Driver,SOIC",,,,,1.0,0,0
,EL-TST-000015,TIP142,"NPN Darlington Power Transistor, Complementary to TIP147",Darlington 100V 10A 2V,TO-247,Darlington,Power,Bipolar,100V,,10A,15A,2V,125W,1000,4MHz,TO-247-3,15.87x20.82mm,20.82mm,Through Hole,-65°C,150°C,-65 to 150°C,1,MyLib_Transistor:Q_NPN_Darlington_BCE,MyLib_PKG_TO_SOT_THT:TO-247-3_Vertical,,https://www.onsemi.com/pdf/datasheet/tip142-d.pdf,1,1,ON Semiconductor,TIP142,TIP14x,C1345,,511-TIP142,,TIP142-ND,,9558619,,TIP142T,,Transistor,Other,0,0,0,,pcs,30,1.25,USD,2025-01-10,1.20,Mouser,1,Complementary pair with TIP147,"Darlington,Power,NPN,TO-247",,,,,1.0,0,0
,EL-TST-000016,TIP147,"PNP Darlington Power Transistor, Complementary to TIP142",Darlington 100V 10A 2V,TO-247,Darlington,Power,Bipolar,-100V,,-10A,-15A,-2V,125W,1000,4MHz,TO-247-3,15.87x20.82mm,20.82mm,Through Hole,-65°C,150°C,-65 to 150°C,1,MyLib_Transistor:Q_PNP_Darlington_ECB,MyLib_PKG_TO_SOT_THT:TO-247-3_Vertical,,https://www.onsemi.com/pdf/datasheet/tip147-d.pdf,1,1,ON Semiconductor,TIP147,TIP14x,C1346,,511-TIP147,,TIP147-ND,,9558618,,TIP147T,,Transistor,Other,0,0,0,,pcs,30,1.30,USD,2025-01-10,1.25,Mouser,1,Complementary pair with TIP142,"Darlington,Power,PNP,TO-247",,,,,1.0,0,0
,EL-TST-000017,2N2646,"Silicon N-Channel Unijunction Transistor, 30V, 300mW",UJT 30V 300mW,TO-18,Unijunction,N-Type,Bipolar,30V,,,,,300mW,,1MHz,TO-18-3,5.6x5.6mm,5.6mm,Through Hole,-65°C,125°C,-65 to 125°C,1,MyLib_Transistor:Q_NUJT_BEB,MyLib_PKG_TO_SOT_THT:TO-18-3_Window,,https://www.centralsemi.com/datasheets/2N2646.PDF,1,1,Central Semiconductor,2N2646,,C2700,,610-2N2646,,2N2646-ND,,2412102,,2N2646A,,Transistor,Other,0,0,0,,pcs,500,0.85,USD,2025-01-05,0.80,Digikey,1,Intrinsic Standoff Ratio: 0.56-0.75,"UJT,Unijunction,TO-18",,,,,1.0,0,0
,EL-TST-000018,2N6027,"Programmable Unijunction Transistor, 40V, 300mW, TO-92",PUT 40V 300mW,TO-92,Unijunction,Programmable,Bipolar,40V,,200mA,,1.5V,300mW,,1.5MHz,TO-92-3,4.8x5.0mm,5.0mm,Through Hole,-50°C,100°C,-50 to 100°C,1,MyLib_Transistor:Q_NUJT_BEB,MyLib_PKG_TO_SOT_THT:TO-92_Inline,,https://www.onsemi.com/pdf/datasheet/2n6027-d.pdf,1,1,ON Semiconductor,2N6027,,C1302,,512-2N6027,,2N6027-ND,,1095588,,2N6028,,Transistor,Other,0,0,0,,pcs,2000,0.32,USD,2025-01-12,0.30,Mouser,1,"Programmable UJT, TO-92 package","PUT,Unijunction,Programmable,TO-92",,,,,1.0,0,0
,EL-TST-000019,LPT80A,"Silicon NPN Phototransistor, 30V, 100mW, Daylight Filter",Phototransistor 30V 100mW,5mm,Phototransistor,NPN,Bipolar,30V,,20mA,,0.4V,100mW,500,,5mm_Lead_DIP,5.0x5.0mm,8.6mm,Through Hole,-40°C,85°C,-40 to 85°C,1,MyLib_Transistor:Q_Photo_NPN_CE,MyLib_PKG_DIP:DIP-4_W7.62mm,,https://optoelectronics.liteon.com/upload/download/DS-50-96-0011/LPT80A.PDF,1,1,Lite-On,LPT80A,,C91711,,859-LPT80A,,160-1838-ND,,,,,,Transistor,Other,0,0,0,,pcs,500,0.12,USD,,,,1,Peak wavelength: 880nm,"Phototransistor,NPN,5mm",,,,,1.0,0,0
,EL-TST-000020,SFH309FA,"Silicon NPN Phototransistor, 35V, 165mW, Daylight Blocking",Phototransistor 35V 165mW,5mm,Phototransistor,NPN,Bipolar,35V,,50mA,,0.4V,165mW,520,,5mm_Lead_DIP,5.0x5.0mm,8.6mm,Through Hole,-40°C,100°C,-40 to 100°C,1,MyLib_Transistor:Q_Photo_NPN_CE,MyLib_PKG_DIP:DIP-4_W7.62mm,,https://www.osram.com/ds/SFH309FA.pdf,1,1,Osram,SFH309FA,SFH309,C95825,,720-SFH309FA,,475-2766-ND,,1171922,,,,Transistor,Other,0,0,0,,pcs,1000,0.18,USD,2025-01-18,0.17,Mouser,1,"Peak wavelength: 860nm, daylight blocking","Phototransistor,NPN,5mm,Osram",,,,,1.0,0,0
